	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
MANUFACTURAS DE MADERA	33.6	3.7	0	0.2	2.3	0	1.9	3	8.3	0	0	0.2	1.2	0	0.8	0.2	0	0	2.4	0	5.6	0	11.2	0	0	0
MANUFACTURAS DE PAPEL Y CARTON	7401.8	99.6	745.1	0.1	717.9	0	474.4	0	575	15.2	606.1	30.3	603.2	16.5	668.6	8.6	426.8	6.9	631.8	7.3	645.1	4.9	671.1	3.9	636.6	5.9
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	39.8	0	13.5	0	0	0	0.9	0	0.1	0	0	0	18.8	0	0	0	0	0	1.5	0	0	0	0	0	5.1	0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	806.8	0.2	107.3	0.2	68.3	0	45.6	0	157.6	0	68.8	0	64.8	0	32.3	0	57.8	0	78.9	0	22.4	0	72.5	0	30.5	0
MANUFACTURAS DIVERSAS	2536.4	3.1	94.6	0.1	217.5	0	223.6	2.6	95.4	0.2	133.6	0.1	309.1	0	359.8	0	224	0	276.3	0	89.2	0	360.9	0	152.3	0
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	19684.7	221.8	1025.2	1.3	1256.2	0	2038.8	163.6	1840	0.1	1766.9	16.7	1125.7	9.2	2578.5	0.1	1248.9	0.6	2284.9	7.2	785.4	4.1	2083.2	17.1	1651	1.8
MATERIALES PLASTICOS Y SUS MANUFACTURAS	23264.7	7.5	1574.3	0.3	1447.4	0	884.6	0.9	1988.6	4.2	1135.5	0.2	1408.2	0.1	2965.2	0.5	2733.8	0.1	4490.5	0.4	1930.2	0	1592.5	0	1113.9	0.8
MATERIALES TEXTILES (TEJIDOS O TELAS)	107414.7	120	7659.7	0.4	12486.9	1.1	7642.3	0	12840.5	42.3	11412.1	3.4	12075.2	0.4	9538.7	3.6	7368	0.3	7830.3	19.5	6139.8	30.1	6548	18.3	5873.3	0.6
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	450.2	25.4	8.9	0.6	7.8	0	16.2	0	83.7	1.9	62	15.4	0.6	1.2	10.6	2.6	54.4	0.9	18.1	2.5	2.7	0.2	185.3	0	0	0
NEUMATICOS Y TUBOS	9793.9	0	297.3	0	459	0	415.4	0	756.9	0	755.8	0	768.8	0	731.9	0	1191.9	0	851.4	0	902.2	0	1711.1	0	952	0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	0.2	0.2	0	0	0.1	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	0
OTRAS MANUFACTURAS DE METALES COMUNES	2007.8	1	96.8	0	106.7	0	237.7	0	129.9	0	206.2	0.1	135	0	265.1	0.3	275.5	0	163.2	0.3	86.3	0.3	216.6	0	88.8	0
PAPEL Y CARTON	427	90.9	6.6	10.9	13.6	0	219.5	7.7	30.4	3.8	19.3	0	67.4	11.5	4.7	8.2	24.6	0	13.4	16.2	2.5	20.5	14.2	12.1	10.7	0
PESCADO Y MOLUSCOS	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2	0	0	0	0	0	3.9	0	0	0
PINTURAS Y BARNICES	7861	0.1	741.5	0	516.8	0	894.4	0	805.5	0	646.5	0	832.3	0	794.7	0.1	880.9	0	279.4	0	554.9	0	503.9	0	410.1	0
PREPARADOS A BASE DE CEREALES	226.4	0	5.1	0	20.7	0	5.1	0	8.6	0	10	0	19.6	0	56.8	0	19.5	0	26.6	0	4.2	0	45.7	0	4.4	0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	205.1	0	2	0	0.9	0	35	0	4.6	0	27.7	0	1.6	0	5.3	0	0.2	0	59.1	0	14.4	0	8.8	0	45.7	0
PREPARADOS DE LEGUMBRES Y HORTALIZAS	9.9	0	0	0	3.9	0	0	0	0	0	0.9	0	0.9	0	0.6	0	0	0	0.4	0	0	0	2.2	0	1.1	0
PREPARADOS DE FRUTAS	44.8	0	0	0	2.9	0	4.9	0	0	0	1.7	0	6.9	0	0.7	0	2.2	0	7.7	0	1	0	15.8	0	0.9	0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	48.8	0	0	0	27.8	0	9	0	4.4	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0.5	0	5.6	0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	4390	0	205.9	0	125.2	0	504.4	0	441.4	0	472.9	0	590.5	0	431.2	0	434.1	0	438.1	0	251.1	0	324.5	0	170.8	0
PRODUCTOS FARMACEUTICOS	5461.9	0	22.5	0	58.8	0	197.6	0	424.1	0	872.3	0	1322.8	0	41	0	721.9	0	161.2	0	155.4	0	300	0	1184.5	0
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	125.5	0	2.4	0	0	0	1	0	0.1	0	0.9	0	0	0	35.1	0	45.5	0	33.5	0	7	0	0.1	0	0	0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	84.9	1.3	7.9	0.2	0.8	0	1.7	0	23.3	0.1	0	0.1	0.7	0	0.6	0.4	0	0.2	9.7	0.3	2.4	0	22.1	0	15.6	0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	21.9	0	2.2	0	2.3	0	0.5	0	3.9	0	0.4	0	1	0	1.5	0	2	0	2.3	0	2.6	0	3.2	0	0.1	0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	36.3	0	9.1	0	0.1	0	0	0	0	0	0.9	0	8.5	0	0	0	0	0	5.1	0	12.5	0	0.1	0	0	0
TUBERIA Y SUS ACCESORIOS	845.7	0	18.9	0	37	0	16.3	0	4.4	0	22.7	0	107.6	0	272.1	0	62.5	0	24.7	0	10.9	0	116.9	0	151.8	0
VEHICULOS Y MATERIAL DE TRANSPORTE	84875.9	2.8	5401.2	0.3	6685.4	0	4080.4	1.6	13200.7	0	4557.9	0.6	10821.9	0	3930.2	0.1	10036.6	0	6561.5	0.1	5427.7	0	8849.7	0	5322.8	0
VIDRIO Y SUS MANUFACTURAS	124.9	2.1	31	0.7	2.7	0	2.9	0	22	0	4.8	0.1	1.1	0	5.8	0.8	12.4	0.1	15.7	0.4	1.8	0	22.4	0	2.3	0
INDUSTRIAS EXTRACTIVAS	38788.4	5505.2	35.2	870	50.3	341.8	7144.2	620.3	5745.2	541.4	5476.2	555.7	5636	260.4	3223	719.9	4949.1	505.4	3505	668.5	2802.2	43.3	169.9	168.6	52.1	209.9
ALUMINIO	242	2459.9	3.5	115.1	3.9	218.5	3.4	583.3	73.7	411.4	7.3	522	3.1	233.2	18.7	59.4	0.1	48.9	14.2	23.2	11	34.3	98.7	38.4	4.4	172.4
CEMENTO	9951.7	0	0	0	0	0	3374.8	0	0	0	0	0	3160	0	0	0	0	0	3416.9	0	0	0	0	0	0	0
COBRE Y SUS MANUFACTURAS	224.1	0	0.1	0	0	0	0	0	5.8	0	95.4	0	0	0	12.9	0	109.4	0	0.5	0	0	0	0	0	0	0
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA)	0	3045.3	0	755	0	123.3	0	37	0	130	0	33.7	0	27.3	0	660.5	0	456.5	0	645.3	0	9	0	130.3	0	37.5
DIESEL	9.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.3	0
ESTA&O	3.7	0	0	0	0.2	0	0	0	3.2	0	0.3	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
GASES INDUSTRIALES	200.8	0	20.4	0	0	0	20.4	0	8	0	0	0	37.7	0	1.2	0	53.5	0	0	0	0	0	30.9	0	28.7	0
HIERRO Y ACERO	27945.5	0	3.9	0	0	0	3743.1	0	5602.3	0	5368.9	0	2433.9	0	3152.2	0	4759.2	0	66.9	0	2774.5	0	30.8	0	9.8	0
MAGNESIO	16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1	0	0	0	0	0	0	0	0	0	0	0
NIQUEL	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	0	0
OTROS DERIVADOS DE PETROLEO	130.4	0	0.2	0	32.8	0	0.1	0	46.8	0	0.5	0	0	0	18.9	0	23	0	0	0	6.5	0	1.6	0	0	0
OTROS METALES COMUNES	2.6	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRODUCTOS MINERALES DIVERSOS	58.9	0	4.5	0	13.4	0	2.5	0	5.3	0	3.7	0	1.2	0	3.1	0	0.5	0	6.4	0	10.3	0	8	0	0	0
ZINC	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
