	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
PRODUCTOS FARMACEUTICOS	0	3533	0	353.5	0	247.9	0	130.2	0	1089.3	0	231.7	0	211.1	0	198.9	0	273.7	0	251.8	0	198.6	0	170.6	0	175.8
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	0	104.8	0	2.2	0	11.3	0	0.1	0	19.6	0	0	0	1.4	0	1.4	0	61.2	0	0.8	0	3.9	0	1.4	0	1.4
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	0.3	26.8	0.1	0.1	0	0.1	0.1	4.2	0	9	0	0	0	0.2	0.2	0.1	0	6.1	0	0.5	0	0.2	0	0.4	0	5.9
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	0	37.7	0	9.3	0	5.1	0	1.1	0	1.9	0	3.4	0	3.7	0	0.7	0	1	0	4.5	0	4	0	2.6	0	0.3
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	0	9.2	0	0.2	0	0.3	0	1	0	0.6	0	0.6	0	0.3	0	0.3	0	3.4	0	0	0	1.5	0	0.7	0	0.2
TUBERIA Y SUS ACCESORIOS	1.7	1263.9	0	71.2	1.7	61	0	138.9	0	90.4	0	127.3	0	15	0	188.5	0	57.6	0	50.7	0	122.9	0	271.4	0	69
VEHICULOS Y MATERIAL DE TRANSPORTE	7.4	83230.3	0	6086.9	6.2	7508	0	7833.8	0.8	6878	0	5977.7	0	12573	0.4	3580.5	0	9985	0	5094.4	0	4320.1	0	5194.7	0	8198.1
VIDRIO Y SUS MANUFACTURAS	0.5	62.5	0	1.5	0	4.7	0.2	1	0	12.4	0	1.1	0.1	2.8	0	6.8	0	6.1	0	4.7	0.2	10.3	0	6	0	5
INDUSTRIAS EXTRACTIVAS	78957.6	57026.5	3812.5	898.2	6364.2	2489.6	8381.6	139.9	2309.6	427.7	8289.4	372.5	11689.4	69	3589.4	5198.2	11032.7	9732	6922.6	23901.8	4885.6	11645.1	10617.5	165.6	1063.1	1986.9
ALUMINIO	1117.9	419.1	11.6	4.3	14.8	61	22.5	59.9	19.8	64	13.7	71.7	25.8	0	23	6.4	24.7	1.7	161.3	0.5	197.5	79.4	370.9	0	232.4	70.2
ASFALTO	0	62.5	0	0	0	0	0	20	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	21.5
CEMENTO	0	6158.9	0	0	0	2385.5	0	0	0	0	0	0	0	0	0	0	0	1869.1	0	1904.4	0	0	0	0	0	0
COBRE Y SUS MANUFACTURAS	1.7	32.1	0	2.8	0.8	1.1	0	0	0	0.2	0	0.1	0	0	0	20	0	0.9	0.5	0	0	1.4	0.4	5.6	0	0
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA)	344.6	0	11.3	0	35.8	0	58.3	0	43.6	0	36	0	5.3	0	16.5	0	12.5	0	48.8	0	45.5	0	25.1	0	5.9	0
DIESEL	0	8227.8	0	0	0	0	0	0	0	0	0	0	0	0	0	94.5	0	135	0	7998.4	0	0	0	0	0	0
ESTA&O	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0
GASES INDUSTRIALES	0	192	0	22.9	0	0	0	20.9	0	20.1	0	20.2	0	21.1	0	0	0	0	0	22	0	0	0	64.8	0	0
GASOLINA	0	23977.5	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0.1	0	13949.6	0	10027.2	0	0	0	0
HIERRO Y ACERO	0	5144.6	0	836.5	0	4.1	0	34.4	0	340.7	0	205.1	0	13	0	83.1	0	145.8	0	1.7	0	1520.7	0	74.5	0	1885
KEROSENE	0	12540.4	0	0	0	0	0	0	0	0	0	0	0	0	0	4987.4	0	7553	0	0	0	0	0	0	0	0
OTROS DERIVADOS DE PETROLEO	0	150.3	0	24.5	0	3.2	0	2	0	2.6	0	68.2	0	13.1	0	0.3	0	19.3	0	1.6	0	2.6	0	6.8	0	6.2
OTROS METALES COMUNES	0	2.3	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0.5	0	0
PLOMO	66024.7	0	3505.2	0	5067.3	0	7552.6	0	1485.6	0	7539.5	0	10078.1	0	3004.4	0	9890.3	0	5970.8	0	3701	0	8229.8	0	0	0
PRODUCTOS MINERALES DIVERSOS	0	117	0	7.2	0	34.7	0	0	0	0.1	0	7.2	0	0	0	6.5	0	6.3	0	23.7	0	13.8	0	13.5	0	4
ZINC	11468.7	0	284.5	0	1245.5	0	748.2	0	760.6	0	700.2	0	1580.2	0	545.5	0	1105.3	0	741.2	0	941.6	0	1991.3	0	824.7	0
