	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
MANUFACTURAS DE PIELES	1764.5	0	157.3	0	68.1	0	1.4	0	103.3	0	714.7	0	406.9	0	94.5	0	20	0	76.4	0	88.5	0	0	0	33.5	0
MANUFACTURAS DIVERSAS	3604.8	8.3	1137	0	34.9	3	195.4	0.2	106.7	0	110.2	0	325.5	0	335.5	0	291.1	0	200.1	2.5	222.4	1.5	151.2	0	494.6	1
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	51228.6	79.8	5970.6	0.5	3373.7	0.1	2050	1.3	3536.9	0	4816.7	0	3620	0.1	4230.3	0	4080.4	29.3	3688.8	36.9	2172	0	5666.7	0	8022.5	11.7
MATERIALES PLASTICOS Y SUS MANUFACTURAS	5627.2	65.3	514.1	4.1	277.5	0.8	583.5	0	450.8	0	187	0	768.3	0	800.4	0	360.6	0	265.3	1.3	638.7	29.5	429.4	0	351.5	29.5
MATERIALES TEXTILES (TEJIDOS O TELAS)	1392.5	28.9	19.6	0	3	0	219.6	0	269.3	0	340.8	0	140.5	0	225.2	0	97.5	28.9	13.9	0	9.1	0	42.8	0	11.2	0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	2468.7	4.4	198.6	0	80	0	232.9	1.9	474.7	0	175	0	24.7	0	132.2	0	245.7	0	384.4	2.5	160.7	0	267.6	0	92.3	0.1
NEUMATICOS Y TUBOS	43.6	0	0	0	0	0	0.1	0	12.6	0	18.8	0	1.6	0	1.1	0	0	0	0	0	0	0	0	0	9.4	0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	17.1	1	0	0	0	0	0	0	2.2	0	0	0	10	0	0	0	0	0	0	1	2.2	0	2.7	0	0	0
OTRAS MANUFACTURAS DE METALES COMUNES	3133.4	65.7	450.8	0	51.5	0	402.5	34.3	303	0	257.5	0	123.5	0	247	2.1	217.9	0	316	29.3	268.9	0	452.5	0	42.2	0
OTROS ACEITES ESENCIALES	34	12.8	0	0	0	0	0	12.8	0	0	0	0	0	0	0	0	0	0	14.1	0	0	0	0	0	20	0
PAPEL Y CARTON	188.6	49.9	69.9	0	1.1	30	0.1	0.1	0	0	22.9	0	50.2	0.6	15.5	0.6	0	0	15	0	0	0.6	1.3	0	12.6	18.1
PINTURAS Y BARNICES	1703.1	0	112.5	0	27.3	0	118.6	0	213.2	0	206	0	135.1	0	213.4	0	95.6	0	81.3	0	199.8	0	113.2	0	187.1	0
PREPARADOS A BASE DE CEREALES	592.8	0	34.2	0	34	0	105.8	0	17	0	35.7	0	36.2	0	55.5	0	66.1	0	38.7	0	77.2	0	41.3	0	51.3	0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	88.8	0	0	0	0	0	3.2	0	1.3	0	0	0	1.6	0	39.9	0	0	0	18.1	0	4.1	0	4	0	16.5	0
PREPARADOS DE LEGUMBRES Y HORTALIZAS	191.5	0	27.8	0	16.4	0	25.7	0	0	0	0	0	21.2	0	0	0	38.9	0	2.5	0	34.3	0	4.4	0	20.3	0
PREPARADOS DE FRUTAS	189.6	528	45.1	40	0	0	0	80	39.1	0	0	80	18.8	48	0	40	0	80	21.6	0	45.5	40	0	40	19.4	80
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	606.8	0	63.4	0	1.6	0	156	0	75.4	0	91	0	52	0	0.5	0	70.7	0	21	0	48	0	4.8	0	22.5	0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	3682.7	240.8	128.5	0	437.5	0	273	50	359.9	0	246.5	0	445.4	0	264.1	60	416.1	65	262.4	65	313.1	0	212.3	0.8	323.9	0
PRODUCTOS FARMACEUTICOS	5316.9	0	525.8	0	265.2	0	395.7	0	434.2	0	546.4	0	363.9	0	531.2	0	244.9	0	498.3	0	816.3	0	503.2	0	191.9	0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	37.3	3.1	3.4	0	1	1.3	0.2	0.2	23.8	0	0.7	0.1	2	0	0.6	0	3.2	0	0.1	0.4	0	0.5	0.1	0	2.4	0.6
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	42.9	0	0	0	3.3	0	0	0	10.4	0	1.2	0	7.2	0	0.4	0	4.7	0	3.6	0	0	0	11.3	0	0.8	0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	101.6	0.1	13.2	0	0	0	14	0	1.1	0	4.5	0	18.2	0	3.1	0	8	0	1.9	0.1	12.7	0	14.3	0	10.6	0
TUBERIA Y SUS ACCESORIOS	1603.2	20.6	234.8	0	156.4	0	76.5	0	185.4	0	28.3	0	145.1	0	199.4	0	66.6	0	74.8	20.6	72.4	0	195.3	0	168.3	0
VEHICULOS Y MATERIAL DE TRANSPORTE	9778.8	600.7	595.2	6.5	270.8	0	198.1	25.5	795.6	0	1526.7	0	504.2	0	1401.5	0	1072.6	0	625.3	568.6	927.8	0	1218.1	0	643.1	0
VIDRIO Y SUS MANUFACTURAS	1291.2	7	39.1	0	4.7	0	49.4	0.1	48.4	0	218.5	0	181.6	0	175.8	0	224.1	5.5	36.4	0.1	213.8	0	55	1.3	44.4	0
INDUSTRIAS EXTRACTIVAS	1449.3	51735.2	154.5	6657.7	147.3	6028.5	166.4	6266.1	48.2	4326.8	76.1	1317.3	58.7	1314.3	264.8	1867.2	184.5	4847.2	61.2	1000.1	155.9	1494.1	89	14847	42.5	1769.1
ALUMINIO	905.9	0.1	105	0	47.3	0	143.5	0	39.8	0	0	0	19	0	135.2	0	130.5	0	11.8	0.1	154.6	0	85.7	0	33.4	0
ANTIMONIO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COBRE Y SUS MANUFACTURAS	8.2	0	1.7	0	1.8	0	0.8	0	0	0	0	0	0.1	0	1.1	0	0.1	0	0.7	0	0	0	1	0	1	0
