,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
OTROS DERIVADOS DE PETROLEO,0,354.6,0,118.9,0,1.9,0,66.5,0,1.7,0,91,0,37.1,0,29.9,0,2.4,0,0,0,0.6,0,1.2,0,3.5
OTROS METALES COMUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROLEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLOMO,28606.5,1.9,3995.6,0,5984.5,0,8336.6,0,0,0,7367.6,0,2922.2,0.4,0,0,0,0,0,0,0,0,0,1.6,0,0
PRODUCTOS MINERALES DIVERSOS,0,60.4,0,24,0,0,0,0,0,0.1,0,0.6,0,15.8,0,2.4,0,2.7,0,13,0,1.2,0,0,0,0.6
ZINC,5980,0.8,1102.1,0,964,0,1382.3,0.8,859.2,0,1300.8,0,371.6,0,0,0,0,0,0,0,0,0,0,0,0,0
PRODUCTOS NO ESPECIFICADOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAS MANUFACTURERAS,24344.2,254982.5,7244.1,22720.1,2818.9,24034.4,8657,27852.1,389.2,19229.8,837.2,18571.2,384.8,19070.6,596,19736.4,630.6,24716.8,438.8,14847.4,646.3,23115.6,509.6,20814.8,1191.7,20273.5
ABONOS Y FERTILIZANTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEITE DE CARDAMOMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEITE DE CITRONELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEITE DE PALMA ROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEITE DE SEMILLA DE ALGODON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEITE DE TE DE LIMON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALIMENTOS PREPARADOS PARA ANIMALES,0,122.8,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4,0,29,0,0,0,27.3,0,25.1,0,6
APARATOS ELECTROMECANICOS DE USO DOMESTICO,3.9,3472.9,0.1,267.1,0.5,222.4,0.3,115.5,0,306.8,1.1,79.3,0,516.3,0,481.2,0.1,695.7,0,161.3,0.2,101.3,0.3,315.2,1.3,210.8
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,0.1,18.1,0,0,0.1,0.1,0,0.5,0,1.9,0,4.5,0,0.2,0,1.4,0,0,0,1,0,0.3,0.1,0.6,0,7.6
APARATOS TRANSMISORES Y RECEPTORES,2.6,1074.5,0,88.2,0.1,81.6,0,51.5,0,122.3,1.1,89.2,0,28.8,0,4.9,0,96.5,0,270.9,1,31.2,0.3,82.5,0.2,126.8
ARMAS Y MUNICIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTICULOS DE VESTUARIO,671.4,537.2,19.4,84.5,51,8.9,27.7,22.4,14.4,31.4,12.9,6.1,42.8,8.8,67.7,9.8,196.1,63.5,53.8,17.5,144.2,12.8,8.8,92.5,32.5,178.9
ARTICULOS TIPICOS DE MATERIALES TEXTILES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
