	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
DIESEL	366.3	881847.9	0	70611.6	0	60331.4	39.5	88868.1	0	96837.7	0	55517.6	0	60191.1	0	59779.3	0	50781.2	0	68398.6	81.8	66290.3	0	91517.2	245.1	112724
ESTA&O	0.7	137.5	0	6.9	0	2.3	0	11.9	0	25	0.7	2.7	0	32.3	0	6.8	0	31.6	0	3.8	0	6.4	0	3.3	0	4.8
GASES INDUSTRIALES	3.4	7298	3.4	507.8	0	1862	0	639.2	0	694	0	251.9	0	26.2	0	782.8	0	1004.3	0	69	0	568	0	777.7	0	115.2
GASOLINA	0	945729.6	0	94056.2	0	56600.4	0	103946.5	0	83623.4	0	57843	0	85628	0	72308.5	0	62850	0	48619	0	95796.4	0	59890.7	0	124567.4
GAS PROPANO	0	209798.3	0	13522.9	0	20342.2	0	13978.6	0	14602.9	0	16878.5	0	12775.7	0	14743.2	0	14871.1	0	22582.7	0	21618.7	0	22275.2	0	21606.8
HIERRO Y ACERO	52135.4	2735.7	2150.5	172.3	1918.2	398.8	2045.4	281.1	1506	181.6	2398.2	180.4	5196.3	335.5	6674.6	213.6	12177.9	199.4	9674.1	194.3	4104.1	237.8	4290.1	192.9	0	148.1
KEROSENE	0	66849.2	0	2337.6	0	10433.2	0	8730.1	0	5856.1	0	6985.8	0	1916.6	0	3477.6	0	5170.1	0	4027.1	0	7337.3	0	1921	0	8656.7
MAGNESIO	0	23.4	0	0	0	0.3	0	0.2	0	2.2	0	1	0	4	0	0.2	0	0.7	0	7.2	0	7.7	0	0	0	0
MARMOL	0	4.3	0	0	0	0	0	0.2	0	0	0	0.7	0	0.1	0	0	0	0	0	0.2	0	0	0	3.2	0	0
NIQUEL	0.5	33	0	0.6	0	0.6	0	2.3	0	0.6	0.5	9	0	6	0	1.7	0	2.2	0	8.1	0	1.5	0	0.1	0	0.2
OTROS DERIVADOS DE PETROLEO	60.9	147694.5	0	8880.7	0.1	17831.3	0	16343.9	0	12339.9	0.1	9422	0	13548.3	0	11037.7	35.7	14553.4	25.1	7274.4	0	14668.6	0	10707.8	0	11086.4
OTROS METALES COMUNES	0	221.7	0	15.8	0	0	0	45.9	0	10.7	0	39.3	0	0	0	6.3	0	11.4	0	0	0	6	0	26.5	0	59.7
PETROLEO	119333.7	0	0	0	21413.8	0	11511.4	0	0	0	19489.8	0	0	0	8655	0	0	0	21061.5	0	10779.1	0	12986.4	0	13436.7	0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	96387.9	1985.5	21788.6	26.6	17251.3	29.3	14409.5	104.6	15108.2	20.2	18550.3	251.7	4451.3	31.5	499.2	273.6	674.3	300.4	142.4	494.4	1328.6	406.9	1466.9	18.1	717.3	28.1
PLOMO	0	260.5	0	13.2	0	25.4	0	32	0	25.2	0	19.8	0	15.2	0	0.5	0	21.3	0	72.9	0	1.7	0	25.8	0	7.6
PRODUCTOS MINERALES DIVERSOS	64.5	64043.7	4.9	3349.3	0.3	4712.9	4.7	8770.5	0.4	3804.7	29.3	10011.9	4.8	5153.1	0.1	11849.8	0.1	3628.1	0	3653.9	0	4130.7	0	3767	20	1211.8
ZINC	79.3	485.2	0	28.5	0	316.2	39.8	17.4	39.5	1.7	0	22.2	0	19.4	0	2.5	0	49.5	0	5	0	4.3	0	8.7	0	9.7
INDUSTRIAS MANUFACTURERAS	1797364.3	4463739.8	139842.5	333454	137071.1	343148.8	155180.9	400730.8	148376.3	315912.8	161026.8	357156.9	144143.3	376560.4	173374.7	373215.5	170092.3	404665.1	146794.7	345169.7	144856.1	419564.5	140532	387931.6	136073.5	406229.6
ABONOS Y FERTILIZANTES	0.2	22046	0	3193.5	0	186.8	0	178.1	0	2630.2	0	2246.7	0.2	1579.2	0	4570.6	0	168.9	0	1740.1	0	3644.1	0	1609.4	0	298.4
ACEITE DE SEMILLA DE ALGODON	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	2.5
ALIMENTOS PREPARADOS PARA ANIMALES	261.2	190100	5.3	12776.7	10.4	19358.3	57.2	13324.7	11.4	20551.3	62.3	13161.5	0	16642.2	40.9	21257.3	10.8	24047	6	9594.7	56.9	10146.1	0	14752.5	0	14487.6
APARATOS ELECTROMECANICOS DE USO DOMESTICO	1034.4	63201.1	113.2	3080.6	85.6	3774.9	242.9	5829.4	8.4	4509.3	4.8	5932.7	101.1	4801.7	7.7	5104.6	64.7	5830.8	66.1	5403.8	36	6652.7	151.7	5932.6	152.2	6348.1
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	19667	47024.5	29	6338.6	233.4	3341.9	252.2	6323.5	556.8	1529.9	297.6	2661.6	21.3	3583.2	315.7	1806.4	297.8	1851.7	275.3	2604.6	562.2	3335.9	16540.9	3534.3	284.7	10112.9
APARATOS TRANSMISORES Y RECEPTORES	736	411164.2	43.8	38357	44.5	26825.9	248.4	33670.7	18.3	22851.9	11.5	31499.2	54.2	32843.8	192	34542.4	23.4	32944	51.7	23590.4	16.7	46400.7	15.7	47324.8	15.8	40313.5
ARMAS Y MUNICIONES	0.1	6104.8	0	859.2	0	46.7	0	99.3	0	571.9	0.1	1002.2	0	930.5	0	381.1	0	418	0	147.6	0	574.4	0	499.3	0	574.7
ARTICULOS DE VESTUARIO	1234458.7	61739.1	98847	4320.2	98473.9	4568.8	117247.8	5863.1	105278.5	3411.3	104694.8	4382.1	105229.2	4325.8	112576.6	4721.6	100775.8	4645.5	100919.1	4358.8	104992.2	6769.1	87229.3	6818.3	98194.4	7554.6
AVES DE CORRAL BENEFICIADAS	0	109156.9	0	7368.4	0	8135.6	0	8020.7	0	7754.5	0	10251.5	0	9645.4	0	8776.7	0	9194.5	0	8073.9	0	11929.7	0	9786.8	0	10219.2
AZUCAR	88440.2	117.6	11038.2	0.1	1035.3	0.3	1617.7	1.9	169	0.4	19365.6	35.1	1090.6	7.2	23755.3	1.7	28941.4	0.2	963.3	3.8	0	0.1	9.6	1.3	454.1	65.5
AZUCARES Y ARTICULOS DE CONFITERIA	6005.6	30005.1	405.3	2627.1	467.4	2096.1	442.8	2089.3	532.5	2265.3	581.9	2481.9	437.5	2326.9	672	2221.3	654.9	1922.2	560.9	2283.6	467.2	3382.8	440	3222.9	343.2	3085.7
BATERIAS ELECTRICAS	961	11915	36.9	1010.2	60.6	779.3	208.2	962.8	0.1	486.4	160.7	963.3	83.9	757.6	0	815.4	202.3	1264.1	103.1	790.3	21.1	1372.9	23	1891.1	60.9	821.7
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	15168.2	33219.2	962	2725.8	1387.4	3401.3	1063.7	3487	1138.3	1837.9	1283.5	2882.2	1268.8	2868.6	1039.1	3162.8	1340.2	2907.5	1370.1	2075.5	1838	3221.4	1280.9	2430.6	1196.1	2218.6
CAFE SOLUBLE Y MOLIDO	39	816.5	0	55.8	4.5	91	12.3	45.2	0	53.2	1.7	43.4	0	57.3	0	69.4	2.9	104.2	10.2	91.3	0.8	97.4	2.4	37.8	4.3	70.6
CALZADO	12852.5	35741.8	887.3	1759.5	1053.2	2293.2	1274.2	3473.9	821.6	2995.3	1152.3	2697.5	1246.8	2337.8	1122.7	2639.4	1423.4	3548.2	1304.3	3050.8	894.6	3616	908.3	3790.9	763.8	3539.5
CAMARON Y LANGOSTA	25026.7	2534.5	1320.1	358.9	1542.2	302.1	1468.1	395	2189.9	790.9	2837.6	135.8	2695.7	7.2	2499.9	154	1790.3	114.6	1669	57.5	1896.8	91	3228.4	10.5	1888.9	116.9
CARNE	33	60502.6	0	2978.9	0	4296.6	0	4879.1	0	3331.5	0	4731.7	0	5092.6	0	3450.4	0	5299.4	0	5416.5	0	7109.2	33	7098.3	0	6818.3
CERAS	13	2743	2.6	179.7	0	248	0.8	221.7	4.8	263.2	3.7	205.5	0	220.3	0.5	339.4	0	301.3	0	183.9	0.2	260.7	0.3	169.1	0	150.1
CLAVOS Y TORNILLOS	9.3	8111	0	776.4	2.7	743.6	0	699.5	3.1	556.8	0.9	678.1	0	844.3	0	948.3	2.2	674	0	606.6	0.2	578.7	0	492.8	0.1	512
DETERGENTES Y JABONES	1589.4	10972	89.6	1192.1	115.6	900.4	78.7	1069.7	161.3	992.7	145.9	940.3	133.8	1002.5	195.8	758.9	122.8	947.4	120.3	938.3	169.3	975.5	130.5	710.1	125.8	544.2
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	19.2	2358.5	0	220.4	0	218.7	0	204.7	0	284.2	0	119.8	0	167.5	0	238.1	0	209.7	0	110.5	10.6	205.4	8.6	205.3	0	174.1
GRASAS Y ACEITES COMESTIBLES	1172.5	73790.8	136.1	4659.4	144.5	3194.5	180.1	7848.8	70.5	8338.3	34.3	5404.6	16.9	2832.9	155.4	10342.7	91.5	6597.3	99.4	1736.9	64.9	13785.2	81.9	2630	97.1	6420.2
HARINAS DE CEREALES	299.7	11784.5	18.6	604.5	20.8	596.9	24.9	3481.7	29.8	588.4	16.2	672.1	13.5	640.7	16.3	552.4	19.6	933.6	34.2	728.8	31.1	1035	33.6	1056.4	41.1	893.9
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	193.8	17914	1.9	1557.7	0.4	1172	0.3	1813.2	1.4	1291.8	15.8	1606.6	6.4	1397	1.2	1452.5	15.6	1455.2	66.6	1377.3	23.4	2093	7.8	1241.9	53	1455.7
HILOS E HILAZAS	4478.5	70772.8	427.7	6943.1	387.5	6700.4	551.7	7686.9	433.9	5830.9	253.6	5879.7	293.8	5753.1	235.5	4360.2	483.8	6101.3	457	4281.6	319.6	7019.7	369.1	5224.8	265.2	4991.2
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	193.5	20393.2	0	2445.7	0	1436.2	82.5	2097.4	39.4	902	39.4	2001	0	1789.3	32.2	1573	0	1167.3	0	1420.2	0	1538.3	0	2062	0	1960.9
INSTRUMENTAL MEDICO Y OTROS	23313.3	139974.2	2314.2	11533.3	1638	12525.6	1797.8	13557.4	1625.2	10237.2	1752.4	10407.1	2046	11467.8	2034	11385.2	2227.5	10978.8	2111.1	10719	1549.3	12816.3	2071.1	10898.9	2146.7	13447.6
JOYERIA DE FANTASIA	0	48.5	0	3.7	0	1	0	14.8	0	0.8	0	4.8	0	6.2	0	1.5	0	2.5	0	1	0	7.9	0	2.4	0	1.9
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	6936.4	44990	381.8	2755.5	493	2702.4	495.9	3263.2	462.8	2198.3	489.2	3968.8	650.9	2651.6	779.6	2946	522.7	3690.1	559.1	4572	575.5	5098.5	654.8	5789.6	871.2	5354
LAMINA Y ALAMBRE	18271.2	14991.8	85.5	1077.5	1571.5	1436.6	78.3	1613.8	5104.8	1371.9	373.3	1046.5	177.5	1165.6	237.3	1366.4	3.6	1435.2	6186.5	1258.3	0.7	1254.8	301.5	1017.5	4150.7	947.8
LECHE Y OTROS PRODUCTOS LACTEOS	532.6	50148.3	46	3416.6	54.6	3136.1	16.3	4659.7	32	3616	30.2	3712.8	54.2	3841.1	24.3	4087.9	32.5	5068.6	36.4	4293.7	65.1	4709	94.4	5063.7	46.7	4543.2
MADERA EN TROZA	0	440.1	0	19.5	0	17.6	0	79.6	0	13.9	0	108.9	0	86.1	0	11.1	0	61.2	0	42.2	0	0	0	0	0	0
MANUFACTURAS DE CAUCHO	11057.4	20379.7	656.1	1457.7	975.4	1396.1	985	1959.5	577.4	1563.3	1338.2	1699.1	978.1	1779.7	974.5	1871.3	1075.1	1574.9	869.7	1194.2	1126	1966	917.8	2422.8	584.1	1495.1
MANUFACTURAS DE CERAMICA	553	3670.7	54.2	187	71	276.8	42.3	256	63.5	366.2	26.9	273.7	32.5	294.4	20.8	289.5	83.6	363.8	55.4	353.8	28.4	518.2	40.3	234.9	34.1	256.4
MANUFACTURAS DE CUERO	26778	1508.3	1829.1	138.5	1977.3	93.6	1826.5	122.8	3785.8	93.8	1821.9	119.9	2145.6	102.9	2041.9	72.8	2608.6	153.2	2622.4	140.8	1895	125.8	2621.6	187.2	1602.3	157.1
MANUFACTURAS DE MADERA	59534.1	11671.5	2673.7	1032.3	3457.9	787.8	4258.8	651.3	4169.8	625.3	5056.3	1091.9	7048.1	980.8	5321.3	1076.8	5852.2	1049.6	5569.1	1064	5922	1370.9	5712.8	1013.4	4491.9	927.3
MANUFACTURAS DE PAPEL Y CARTON	73960.8	71859.1	6144.7	6161.7	6419.2	5496.9	7917.1	6379.5	6474.6	5309.4	6049	5297.7	5338.3	5886.7	6453.7	5400.9	7006.4	5963.7	6774.3	4717.2	6874.6	5441.7	4464.5	9642.3	4044.5	6161.3
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	21.6	2226.2	0	168.3	0	190.7	0.8	208.7	0	225.1	0	191.4	3	113.3	0	426.3	16.4	168.7	0.3	132.9	0	90.4	1.1	118.5	0.1	191.8
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	2251.9	8695.4	103	406.6	111.2	732.4	96.3	415.7	112	648.6	63.6	446.4	129.3	818.8	136.8	496.4	162.9	672.3	279.8	755.2	346.1	1184.2	408.7	1285.1	302.4	833.9
MANUFACTURAS DE PIELES	0	31.5	0	1.4	0	0	0	0	0	0	0	4.1	0	0.1	0	0.3	0	0	0	22.7	0	2.2	0	0.6	0	0
MANUFACTURAS DIVERSAS	8468.1	90302.7	444	7600.4	631.8	7742.6	707.4	8191.3	355.5	6553.3	520.2	7432.7	818.3	7447	566.1	6461.7	916	8477.7	910.6	7151.4	989.2	9057.4	825.5	6862.5	783.4	7324.6
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	8012.5	549535	323.1	42401.5	408.8	42876.8	697.1	50077.6	210.3	37423.4	1005.9	43982.7	293.4	44066.1	977.9	40924.6	721.7	45103.2	428.7	47055.5	1719.3	53310.4	700.4	49663.4	526	52649.8
