	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
HARINAS DE CEREALES	7894.1	31.6	1170.5	2.2	786.4	5.1	472.7	0.6	448.4	0.9	527.7	1.6	400.1	1.6	647.9	1.7	1026.1	2.6	497.5	4.8	409.1	0.4	401.9	6.3	1105.9	3.9
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	12418.2	636.5	1011.6	0.1	1046.9	31.4	1343.1	2.5	1029.7	29.1	1103.2	10.3	766.3	1.5	1116.9	109.4	667.1	351.1	1145.8	0.2	1026	0.1	1008	90.8	1153.6	10.1
HILOS E HILAZAS	107876.5	4673.9	4625.4	507.2	10427.6	429	11640.3	605.4	7338.8	355.6	8531.5	440.4	8611.5	525	8866.2	298.2	8494.1	243.3	9588.7	337	10621.1	462.8	8903	270	10228.5	200
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	22897	926.1	3213.9	50.6	2771.6	4.8	2137.3	0	1737.5	310.8	1333.5	26.4	1547.5	179.6	1999.7	218.4	1446.2	0	1182.7	31.1	1278.9	104.3	1959.8	0	2288.5	0
INSTRUMENTAL MEDICO Y OTROS	86695.9	12502.2	6740.8	824.1	6562.2	1053.8	8151.2	1206.7	7535.1	1320.2	6055.5	1145.1	7986.9	1173.8	7175.8	1128.9	7604.7	1075.1	7486.7	720	7759.6	961.1	6646.9	863.7	6990.5	1029.6
JOYERIA DE FANTASIA	67.4	0.3	0.2	0	3.4	0	1.3	0.1	0.1	0	1.7	0	1.9	0.1	42.1	0	4.5	0	3.2	0	2	0.1	2.8	0	4	0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	18332.9	940	1674.9	22.1	1096.3	29.4	1673.7	166.8	1079	44.1	847.8	30.9	1289.5	62.9	1153.9	45.9	1274.2	29.4	1419.4	330.6	1763	108.2	2752.5	13.1	2308.7	56.7
LAMINA Y ALAMBRE	13365.8	55.9	823	0	819.1	3.4	1072.6	0.4	1217.7	0	1257.8	1.9	1022.7	0.1	868.2	0.3	708.2	0	1054.6	0	1300.6	47.1	2065.6	2.7	1155.8	0
LECHE Y OTROS PRODUCTOS LACTEOS	17880.6	765	1484.6	22	1111.5	37.5	1620.6	34.5	1204.8	53.7	1036.2	56.4	1535.8	170.1	1035.2	114.6	1281.4	65.3	1853.9	23.5	1670.8	80.3	2047.6	75.6	1998.5	31.4
MADERA EN TROZA	11.3	0	0	0	0.2	0	0	0	0.2	0	0	0	0	0	0	0	0	0	10.9	0	0	0	0	0	0	0
MANUFACTURAS DE CAUCHO	12791.4	4230.8	869.5	485.9	1100.5	196.1	1062.9	159.5	1146.5	253.7	973.5	98.9	1179.4	360.4	921.7	341.3	1018.5	370.9	1202.3	487.9	995.8	644.6	1182.1	425.6	1138.8	405.9
MANUFACTURAS DE CERAMICA	3300.9	388.5	95.7	19.9	149.5	28.6	219.5	26	217.1	15.8	155.8	42.6	153.1	4.3	241.7	45.1	210.9	24.9	353.1	19.3	291.8	37.3	667.5	121.2	545.3	3.4
