,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
CAMARON Y LANGOSTA,0.00,104.20,0.00,7.1,0.00,4.5,0.00,17.4,0.00,3.8,0.00,4.7,0.00,11.8,0.00,7.1,0.00,9.4,0.00,2.4,0.00,10.8,0.00,18.7,0.00,6.7
CARNE,"3,941.20",194.70,507.6,0,439.1,0,321.8,0,192,65.1,267.7,65.2,353,0,328.6,64.3,301.8,0,398.7,0,115.60,0,366.30,0,349.1,0
CERAS,612.00,"4,992.00",39.5,402.60,12.4,541.60,31.3,348.6,24.1,292.20,21.3,538.20,25.8,402.2,34.3,343,59.3,516.1,98,498.3,52.1,644.3,134.6,350.1,79.4,114.9
CLAVOS Y TORNILLOS,98.80,20.40,5.8,5.80,4.9,0.10,8.2,0.50,0.1,0.50,8.3,10.90,15.3,1.50,15.6,0.10,11.9,0.00,10.4,0.20,6.1,0.30,6.3,0.00,6,0.30
DETERGENTES Y JABONES,"4,408.40","18,162.80",363.5,"1,438.10",293.2,"1,423.00",328.7,"1,676.00",336.7,"1,628.80",359,"1,726.00",368.9,"1,418.50",435.4,"1,532.00",361,"1,502.50",363.1,"1,350.30",474,"1,610.40",343.3,"1,607.00",381.6,"1,250.20"
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",11.70,31.50,0,2.70,0,5.40,7.1,0,0,3.5,0,1.30,1,3.5,1.1,4.1,1.3,0,0.2,2.4,1,0.6,0,5.3,0,2.6
GLICERINA CRUDA,0.00,4.50,0,0,0,0.00,0,0.00,0,0,0,1.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,3.50,0,0.00
GRASAS Y ACEITES COMESTIBLES,"1,285.50","2,061.70",54.5,177.50,132.6,112.30,144.7,236.40,66.9,153.7,40.9,217.20,48.8,125.20,77.8,161.60,96.1,158.60,56.2,170.70,391.7,194.70,120.4,183.30,55,170.60
HARINAS DE CEREALES,44.00,573.20,0,51.7,16.2,54.1,17.6,40.3,0,44.5,0,10.9,0,107,0,21.2,3.8,34.2,0,97.2,0.5,47.8,4.1,24.8,1.8,39.5
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,132.20,126.00,6,11.5,0.2,1.6,9.6,16.8,4.1,32.10,0.8,1.10,6.3,6.8,11.7,3.3,10.9,2.1,6.5,44.9,57.5,0.2,11.3,0.6,7.5,5.1
HILOS E HILAZAS,"2,289.20","2,125.00",102.1,37.00,138.6,115.70,301.7,165.10,124.9,129.30,226.7,235.80,193,251.2,319.30,222.2,275.3,229.90,104.30,305.10,202.3,254,192.2,143.6,109.10,36
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES","9,672.40","11,730.70",761.9,783.3,"1,213.80","1,043.50",724.7,976.3,570.2,621.3,"1,137.50","1,377.80",704.4,"1,131.70",793.8,726.5,527.2,998,413.1,"1,240.20","1,265.40","1,122.50",871.4,923.8,689.1,785.9
INSTRUMENTAL MEDICO Y OTROS,"1,167.50","1,037.00",98.2,55.60,76.4,76.2,78.3,402.3,16.9,18.7,79.7,161.40,148.9,38.4,66,27.8,121.3,24.6,152.1,55.6,84.1,41.2,116.6,79.2,129.1,56
JOYERIA DE FANTASIA,0.60,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",81.10,480.60,11.60,6.3,0.4,19.8,9.70,49.2,6.20,36.1,12.00,20.4,8.30,63.8,2.60,50.9,1.70,56.6,13.90,43.4,0.80,11.5,2.60,89.4,11.20,33.1
LAMINA Y ALAMBRE,"37,317.90","16,888.20","2,791.50","1,348.10","2,197.90",841.3,"2,979.60","1,321.20","2,849.20","1,463.10","3,722.70","1,655.70","4,017.70","1,226.80","3,339.90","1,449.70","3,193.80","1,408.20","3,328.50","1,429.50","3,088.40","1,981.10","3,199.90","1,330.80","2,608.90","1,432.70"
LECHE Y OTROS PRODUCTOS LACTEOS,"20,333.60",662.20,"1,522.50",22.20,"1,169.90",26.70,"1,572.80",59.30,"1,532.00",4.5,"2,197.30",47.30,"1,612.40",29.30,"2,152.30",27.50,"1,698.00",151.20,"1,991.20",61.00,"1,610.00",55.2,"1,518.80",39.70,"1,756.60",138.4
MADERA EN TROZA,0.00,92.80,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0.00,18,0.00,18,0.00,9.9,0.00,29.6,0.00,7.5,0.00,9.9,0.00,0
MANUFACTURAS DE CAUCHO,728.90,352.30,80.80,72.2,46.00,14.7,87.00,64,37.90,21.2,56.10,27.5,62.8,25.1,103.1,14.8,55.4,55.5,29.7,11.3,59.8,15.6,45.1,1.5,65.3,28.8
MANUFACTURAS DE CERAMICA,524.40,"4,496.60",66.30,372.8,96.90,321.6,80.00,407.5,82.80,316.8,34.90,376.6,26.70,288.6,36.20,402,22.10,437.8,1.40,340.1,13.30,429.8,27.50,344.6,36.30,458.4
MANUFACTURAS DE CUERO,36.90,9.60,0.00,0.3,0.60,0,18.10,0.4,5.90,0.1,3.50,2.7,4.10,1.3,1.10,0.9,0.10,1.8,3.00,0.3,0.00,0.3,0.10,0.1,0.40,1.6
MANUFACTURAS DE MADERA,"3,858.50","1,250.50",213.60,95.5,332.50,106.8,405.10,98.6,342.90,89.4,452.10,72.1,329.9,120.4,259.4,106.8,292.5,110.7,213.9,128.9,325.5,106.9,307.9,156.1,383.2,58.3
MANUFACTURAS DE PAPEL Y CARTON,"26,989.40","7,764.70","1,939.80",284.6,"2,421.60",565.9,"3,185.70",387.5,"2,074.90",544.2,"2,388.80",575.2,"2,543.10",589.7,"1,802.40",507.9,"1,973.80",676,"2,214.00",750.3,"2,531.80",950.7,"1,437.90","1,183.50","2,475.60",749.3
