,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
HARINAS DE CEREALES,"1,790.10","1,519.10",189.70,69.20,124.60,96.80,258.20,192.30,162.10,85.80,204.90,125.50,187.20,83.20,144.4,112.60,83.9,128.00,138.2,147.60,110.9,142.30,93.2,179.30,92.7,156.50
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,128.00,734.60,17.1,119.10,5.5,78.20,0.2,111.20,7.2,32.70,7.7,29.70,29.4,45.70,12,13.50,1.8,123.80,11.1,65.60,17.1,54.80,10.6,36.50,8.3,23.80
HILOS E HILAZAS,"2,051.90","28,070.50",180.7,"2,231.40",119.4,"3,769.90",63,"2,504.50",205.4,"2,450.40",196.7,"3,318.30",87,"3,066.90",233.40,536.1,281.2,"2,565.60",252.50,"2,157.00",201.9,"1,000.50",82.6,"2,049.70",148.30,"2,420.40"
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES","38,087.10","23,649.70","2,607.20","1,315.10","3,022.60","1,891.00","3,057.70","1,435.70","3,335.30","1,848.30","2,902.30","1,526.10","3,280.70","2,556.00","4,414.20","1,684.70","3,501.00","2,129.60","2,652.90","2,188.00","2,899.70","1,717.80","3,242.50","2,223.20","3,170.90","3,134.10"
INSTRUMENTAL MEDICO Y OTROS,313.50,"5,923.80",20.8,595.20,6.8,858.6,12.1,572.2,8,580.3,51,344.20,72.3,252,57.5,364.9,22.3,315.6,13.9,"1,012.10",15.5,465.4,25.7,368.5,7.6,194.7
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",708.70,403.80,42.90,28.4,45.00,36.10,29.70,3.00,10.90,6.1,69.70,9.50,20.10,33.10,51.60,28.80,25.50,3.30,286.70,75.70,19.10,105.90,72.30,35.8,35.00,37.90
LAMINA Y ALAMBRE,"7,384.10","27,991.30",391.30,"1,938.20",574.60,"2,209.80",548.00,"2,450.00",656.80,"1,779.00",448.80,"2,495.10",555.60,"2,487.30",744.50,"2,508.50",678.10,"2,788.90",797.60,"2,124.40",507.70,"2,282.30",433.40,"2,331.50","1,047.80","2,596.30"
LECHE Y OTROS PRODUCTOS LACTEOS,"3,649.20","49,928.00",166.40,"3,522.30",298.80,"3,605.10",445.50,"3,458.50",254.30,"3,534.90",438.90,"3,954.90",578.50,"4,492.10",232.20,"5,352.50",145.40,"5,152.50",432.10,"4,542.90",238.20,"3,178.80",262.40,"4,938.30",156.60,"4,195.10"
MANUFACTURAS DE CAUCHO,692.30,"1,867.90",9.70,100.10,75.30,102.80,172.60,184.40,31.50,112.8,47.70,164.50,74.20,195.90,27.60,146.40,65.00,166.10,50.90,156.30,39.00,134.8,33.80,139.10,65.10,264.8
MANUFACTURAS DE CERAMICA,"5,581.70",659.80,435.80,39.50,499.60,40.40,569.70,152.70,364.30,15.80,790.40,46.80,550.60,35.00,404.00,51.10,388.20,24.00,423.50,48.50,256.80,52.70,368.20,44.20,530.70,109.20
MANUFACTURAS DE CUERO,106.60,69.20,3.20,4.50,2.90,2.70,0.30,8.50,8.10,3.60,7.40,3.80,22.70,2.40,14.00,1.50,12.40,8.80,1.90,14.70,0.80,4.00,12.80,6.50,20.10,8.20
MANUFACTURAS DE MADERA,"2,960.80",689.10,56.70,50.9,206.20,68.1,323.00,55.9,221.50,52.9,425.90,84.8,300.20,90.6,251.90,1.6,162.60,48.4,199.50,88.8,233.90,65.9,282.70,26.3,296.70,55
MANUFACTURAS DE PAPEL Y CARTON,"25,317.30","20,575.80","1,761.50","1,338.30","1,609.20","1,261.20","1,779.70","3,031.20","1,686.50","2,885.10","2,055.30","3,634.70","1,968.80","1,141.50","2,110.70","1,490.30","2,401.80","1,091.20","2,210.30","1,036.40","2,415.40","1,070.60","2,521.70","1,106.40","2,796.20","1,488.90"
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",338.60,139.60,12.00,29.20,16.10,13.80,64.70,5.40,13.80,18.30,27.40,3.20,12.50,13.10,37.70,6.30,31.80,1.20,36.90,1.50,30.50,32.90,49.80,7.5,5.40,7.30
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,52.10,199.90,0.60,19.6,0.70,8.8,3.40,25.1,1.00,10.7,25.60,14.3,13.20,12.5,2.00,10.8,1.50,23.8,0.40,22.6,0.90,10.8,1.70,25.30,0.90,15.4
MANUFACTURAS DE PIELES,326.10,78.10,6.30,0.00,0.00,0.00,109.80,0.00,0.00,0.00,3.00,9.20,4.00,0.00,6.70,0.00,54.70,0.00,11.20,0.00,7.70,0.00,114.20,0.00,8.50,68.90
MANUFACTURAS DIVERSAS,"5,106.40","38,483.70",432.10,"4,307.10",404.90,"3,143.10",388.10,"1,433.00",428.90,"1,629.00",596.00,"2,109.30",372.30,"3,498.90",359.40,"3,635.00",391.10,"3,405.20",305.70,"4,115.30",463.70,"4,040.20",315.70,"3,174.70",648.50,"3,992.80"
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,"16,938.80","16,991.60","1,357.40","2,904.50",731.90,"1,544.40","1,329.30","1,130.20","1,318.40",950.90,"2,178.20","1,243.30","1,971.30","1,308.00","1,458.30",795.20,"1,493.10","1,326.10","1,189.10","2,202.00",666.70,"1,464.60","1,631.10","1,072.40","1,614.00","1,050.10"
