,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",3.9,40.6,0,1.6,3.9,1.2,0,0.2,0,6,0,1,0,3.7,0,2.3,0,3.6,0,2,0,5.1,0,2.1,0,11.7
GRASAS Y ACEITES COMESTIBLES,4297.8,2025.3,728,141.5,14.5,0,2,172,178.3,153.4,289.3,121.5,225.3,311.3,501.3,204,482.9,258.6,785.7,287.3,287.6,248.6,546,61.3,257,65.8
HARINAS DE CEREALES,61.5,30.7,1.7,0,1,0,4.7,0,0.9,0,2.1,0,0.9,0,1.1,0,3.5,0,6.6,0,2.5,0,1.1,30.7,35.4,0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,971.5,1866.3,18.3,211.5,57.2,170.4,65.6,187,53,187.2,209,109.8,22.8,153.9,164.3,138.5,60,217.7,90.3,175,70.2,124.2,144.7,108.2,16.2,82.9
HILOS E HILAZAS,450.6,182.7,4.5,8.1,0.1,38.2,0,12.6,49.5,33.5,33.1,24.7,37.1,6.5,9.3,11.9,12.9,3.2,182.5,39.2,22.4,1,99.3,1.7,0,2.2
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",5779.7,2111.9,341.6,199.5,319.6,205.7,271.7,232,348.3,129.8,606.6,144.6,496.8,70.5,747.7,74.6,1129.9,105.5,620.5,365,481.1,244.2,263.8,197.1,152.2,143.5
INSTRUMENTAL MEDICO Y OTROS,534.5,10579.1,21.3,655.8,33.5,758.8,103,799.9,69.1,674.8,31.6,1098.8,31.5,919.3,31.6,731.6,23.8,758.8,46.6,950.1,53.8,675.8,26.4,819.3,62.2,1736.2
JOYERIA DE FANTASIA,0,1,0,0,0,0.1,0,0,0,0,0,0.8,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",135.2,5313.1,11.4,85,3.4,262.9,1.7,436,4.4,408.5,66.7,364.6,3.4,383.4,22.7,342,3.4,672.9,6.2,829.4,5.4,525.2,4.1,680.6,2.6,322.6
LAMINA Y ALAMBRE,8.9,1097.9,0,95.7,0,203.4,0,206.9,3,36.8,0.2,34.3,0.3,71.6,3.8,130.9,0.3,68,0.8,82.2,0,44,0.4,54.8,0.1,69.3
