,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",4503.1,201.5,186.1,3.2,220.5,63.3,194.1,3.8,140.5,6.3,252.4,2.1,142.4,10.6,285.3,5.7,1154.2,5,479.9,48.7,408.3,2.3,723.7,7,315.7,43.6
LAMINA Y ALAMBRE,527.8,229.9,21.4,1.5,18.5,1.7,41.4,4.5,28.9,1.2,38.2,1.1,62.8,3.4,71.7,1,20.1,2.4,37.1,202.6,67.8,4.4,102.9,5.4,17.1,0.7
LECHE Y OTROS PRODUCTOS LACTEOS,7205.1,813.5,640.3,60.4,348.8,92.9,344.7,61.7,277.8,57,893.9,49.8,544.2,86.6,1002.7,120.8,560.2,50.9,903.9,28.9,363.2,103.7,388.7,29.1,936.5,71.6
MANUFACTURAS DE CAUCHO,814.2,350.6,85.6,1.9,81,4.3,42.1,22.3,58.7,15.8,71.5,8.9,80.2,33.2,35.9,2.4,59.9,21.4,44.6,4.5,68.6,79.5,105.5,67.4,80.7,89.1
MANUFACTURAS DE CERAMICA,634,688.7,61.4,0.4,22.9,113.1,99.1,93.3,31,16.5,82.8,32,11.6,76.6,36.6,94.9,66.8,48.2,51.5,48.4,118.7,63.8,17.6,78.6,34,22.7
MANUFACTURAS DE CUERO,227.3,13.5,22.1,0.7,12,0.8,10.7,0.5,12.4,1,20.4,1.9,4.9,2,11.4,4.5,22.7,0.1,15.3,0.3,34,0.5,43.6,0.1,17.8,1.2
MANUFACTURAS DE MADERA,122.5,520.1,4.1,54.1,1.8,49.4,29.9,82.3,3.6,40.1,3.2,19.1,3.7,16,16.2,36.9,4.4,32.7,3.1,60.3,31.9,122.9,6.8,6.3,13.8,0
MANUFACTURAS DE PAPEL Y CARTON,4993.2,9259.3,253.7,479.7,308.4,216.1,497.7,460.4,1036.8,257.7,444.1,191.7,257.8,224,611,281.5,476.3,749.7,454.6,1234.1,177.6,1305.5,215.3,1790.1,260.1,2068.9
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",173.6,11,18.3,0,1.2,2.8,8.8,0.1,1.1,0,3.5,0.5,12.7,0.7,21.3,0,10.5,1.2,27,0,27.8,1.2,30.8,0.1,10.8,4.5
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,580.5,280,45.2,22.9,74.5,15.8,55.7,19.1,32.1,20.8,38.3,42.5,37,20.4,39.3,24.8,28.3,22.2,50.5,19.4,77.7,27.2,42,25.6,59.9,19.2
MANUFACTURAS DE PIELES,0.1,42.7,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7
MANUFACTURAS DIVERSAS,8448.7,2390.5,715.3,150.2,600.7,213.9,723.1,184.4,525.2,159.9,500.3,187.5,588.1,248.6,855.7,145.7,992.7,193.8,748,120.3,748.7,381.3,689.2,154.5,761.6,250.4
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,49794.6,4942,5898.6,356.4,6552.1,799.2,6835.8,135.2,4407.7,248,3162.1,192.9,3266.5,722,3429.1,562.5,3128.2,286.9,2103.9,172.6,3002.9,828.4,3953.7,342.1,4054.1,295.8
MATERIALES PLASTICOS Y SUS MANUFACTURAS,5516.8,3817.3,421.9,233.4,584.8,248.2,446,291.5,385.1,304.8,300.9,352.4,313.2,355.3,320.1,301.5,448.5,260.3,427.8,411.4,631.8,437.5,536.5,212.8,700.1,408.2
MATERIALES TEXTILES (TEJIDOS O TELAS),5938.3,571.9,405.2,48.4,663.2,54.6,482.4,57.1,277,18.3,432.4,50,693.8,63.9,544.2,58,430.7,21.5,541.3,75.8,567.7,59.1,386.2,53.7,514.4,11.4
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",1275,997.4,136.6,12.6,99.2,84.1,162.3,100,82,65.8,74.6,43.7,158.4,151.5,55.4,65.6,118.8,68.8,119.5,92.6,66.6,114.8,54,163,147.4,35
NEUMATICOS Y TUBOS,269.1,490.5,13.1,54.5,0.2,59.5,10.5,26.1,0.3,59.6,13,131.7,1.1,0,0.2,0,1.6,112.9,26.5,1,136.6,0,20.6,0,45.4,45.1
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",12.4,26.5,0,0.1,0.4,0.4,1.5,0.2,0.4,0.1,0.9,0.3,0.2,22.7,1,0.6,1,0.1,4.7,0.3,0.7,0.1,1.4,1.5,0.1,0.1
OTRAS MANUFACTURAS DE METALES COMUNES,3163.3,2736.4,120.2,367.7,158.5,475.5,241.8,121.1,108.2,195.1,125,269.1,155.8,333.4,200.3,296.1,627,34.6,139.2,261.1,587.3,78.4,157.7,251.2,542.4,53.3
OTROS ACEITES ESENCIALES,178.9,520.8,3.2,75.6,0,15.6,62.7,49.3,14.1,35.2,16.3,11.7,13.9,48.8,3,14.4,25.7,83.3,0,11.7,25.7,7.8,14.4,48.2,0,119.1
