,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
MANUFACTURAS DIVERSAS,350.7,487.2,19.8,59.7,17.9,0.2,44.8,45.5,8.6,84.3,22.6,6.7,44,66.9,14,91.7,5.4,48.6,31,42.1,72.5,1.2,61,4,9.2,36.2
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,9552.4,147.5,993.8,0,314.3,0,199.9,0.6,269.6,15.5,519.3,0.1,1445.6,30.4,432.5,24.9,247.1,0.1,449.5,0,1294.9,76,2859.6,0.1,526.3,0
MATERIALES PLASTICOS Y SUS MANUFACTURAS,2233.3,259.7,233.7,0,221.2,0.2,117.7,87.4,119.7,67.2,170.9,77.1,35.3,0.3,130.6,21,239.6,0.1,279,0.3,93.4,0,110.6,0.2,481.8,5.8
MATERIALES TEXTILES (TEJIDOS O TELAS),844.8,142.3,0.4,41.4,57.7,43,23.3,0,120.2,0,67.7,51.8,56,0,99.5,0,114.8,0,69.3,0.6,28.5,0,88.4,5.5,119,0
MELAZAS DE AZUCAR,0,2104.3,0,0,0,0,0,0,0,1124.1,0,0,0,0,0,0,0,0,0,0,0,0,0,980.2,0,0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",92,6.3,0.9,0,0.3,0,1.3,1.2,21,0,1.8,0.7,0.3,1.4,1.9,0,24.4,1.4,2.4,0.2,10,0,5.5,1.3,22.3,0
NEUMATICOS Y TUBOS,757,0.1,32,0,0.5,0,25.4,0,103.6,0,84.9,0,0,0,39.8,0,194.9,0,54.3,0,20,0.1,48.6,0,153,0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",0.9,0.4,0.1,0,0,0,0,0.1,0,0,0.7,0.2,0,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0,0
OTRAS MANUFACTURAS DE METALES COMUNES,389.6,1.4,24.2,0,3.6,0,110.2,0.3,23.1,0,30.4,0.4,16.6,0.2,24.3,0.3,52,0.2,11.6,0,66.5,0,16.1,0,11,0
PAPEL Y CARTON,17962,0,1279.2,0,358,0,276.5,0,696.4,0,1999,0,224.2,0,1183,0,3657.7,0,5047.2,0,1011.9,0,1817.7,0,411.3,0
PESCADO Y MOLUSCOS,23.5,0,0,0,0,0,17.9,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINTURAS Y BARNICES,745.2,4.9,146.4,4.9,30.8,0,69.7,0,39.2,0,0.9,0,40,0,84.1,0,7.8,0,61.5,0,0,0,264.8,0,0,0
PREPARADOS A BASE DE CEREALES,1156.7,5.1,879.4,0,191.6,0,4.4,0,29.6,1.8,2.8,3.3,10.6,0,8.3,0,1.3,0,7.4,0,9.8,0,7.4,0,4.2,0
