	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	26.8	17.6	1.6	0	0.1	0	0.8	0.8	0	1.9	3.8	0.4	4.2	5.3	0	1.1	0.5	0.3	3.3	3.2	1	0.6	8.1	0.6	3.4	3.4
MANUFACTURAS DIVERSAS	1220.5	1514.7	54.8	51.4	48	127.2	49.5	50.1	34.9	47.7	107.7	279.6	69.3	176.4	144.4	221.7	129.9	120.9	144.8	239.2	175.3	124.7	122.5	75.6	139.5	0.2
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	7244	74	546.7	0	147	0	884.7	0.5	2130	0	82	63.5	251.7	0	1408	0	186.1	0	190	0.1	451.9	0.5	409.8	8.9	556	0.6
MATERIALES PLASTICOS Y SUS MANUFACTURAS	4074.8	645.9	263.3	17.2	69.7	1.2	651.3	55.4	327.7	9.9	227.5	60.4	262.7	100.2	319.4	27.4	403.5	138.1	494.5	92.5	392.3	77	343.2	25.9	319.6	40.6
MATERIALES TEXTILES (TEJIDOS O TELAS)	467.5	14.3	28.8	0	5.5	0	7.4	0	23.9	0	51.2	0	15.4	9.3	19.4	0	39.2	4.9	39.2	0.2	63.3	0	82.6	0	91.5	0
MELAZAS DE AZUCAR	0	2436.6	0	0	0	0	0	0	0	0	0	1130.4	0	0	0	0	0	0	0	0	0	1306.2	0	0	0	0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	1540.7	7.3	6.1	0	1.1	0	18.6	0	6.3	0	62.5	0	179.6	0	215.4	0.4	162.2	0	100.8	0.6	251.4	2.9	521.8	0	14.9	3.4
NEUMATICOS Y TUBOS	108.8	0	23.1	0	10.6	0	3.3	0	2.1	0	0	0	0.6	0	20.3	0	35.6	0	4.4	0	0.1	0	0	0	8.7	0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	1.5	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.8	0	0.5	0.7	0	0	0.2	0	0	0.4
OTRAS MANUFACTURAS DE METALES COMUNES	706.9	10.3	24	0	14.6	0	14.4	0	10	0	37.9	0	148.7	0	96.9	0.1	45.4	0	125.5	9	46.2	0	57.6	0	85.6	1.2
