,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
MANUFACTURAS DE PAPEL Y CARTON,361,3384.3,0.2,294.3,0,163.3,15.7,326.3,6.4,215,5.5,242.2,0,406.1,7.7,120.2,32.6,312.4,144,182.8,47.6,502.9,9.6,252.1,91.7,366.7
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",0,203,0,7.7,0,7.9,0,17.9,0,29.8,0,29.3,0,0,0,33.8,0,0.5,0,36.4,0,35.8,0,1.9,0,2
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,45.7,245.6,0,26.7,0,11.8,6.2,16.9,0,0,2.5,42.4,11.1,34.5,0,13,0.1,0.9,15,1,0,86.8,10.7,11.7,0,0
MANUFACTURAS DE PIELES,0,1706,0,108.4,0,152.5,0,377.3,0,522.8,0,122.2,0,131.8,0,42.5,0,46.5,0,92.2,0,0,0,41.1,0,68.7
MANUFACTURAS DIVERSAS,158.8,3658.2,51,1626.2,0.4,56.9,64.5,203.2,42,124.1,0,167.2,0,146.4,0,134.8,0,282.6,0,191.8,0.3,385.1,0.4,258.3,0.2,81.5
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,85.9,49865.1,3,9440.3,1.5,3919,0,3797.2,0.2,2741.4,0,2446.4,1.8,5647.6,23.9,4504.1,0,4217.8,4.7,5789.3,0,1694.7,20,2991.1,30.9,2676.2
MATERIALES PLASTICOS Y SUS MANUFACTURAS,277.5,5849.1,0,688.7,0,334.3,57.9,526.6,0,319.7,1.3,684.9,62.4,229.6,59,604.4,0,580.7,30,440,29.7,575.1,0,364.3,37.2,500.7
MATERIALES TEXTILES (TEJIDOS O TELAS),32.9,1014.5,0,9.8,0.2,1.8,8.1,1.8,0,200.4,0,356.7,0,45,0,308.7,24.6,42.9,0,42.1,0,1.9,0,2.6,0,0.8
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",6.6,2627,1.1,245,0,327.7,0,240.1,1,169,0,125.5,0,316.2,0,112,0,221.6,0,335.5,0.4,124,0,172.7,4.1,237.7
NEUMATICOS Y TUBOS,0,346.4,0,0.8,0,2.9,0,0,0,0,0,5,0,0.5,0,8.1,0,258.9,0,62.7,0,0,0,7.2,0,0.4
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",3.3,24.6,0.1,1.8,0,0,0,0,0.1,5,0,0,0,0,0,3.4,0,0,0,0,0,14.2,0,0.2,3,0
OTRAS MANUFACTURAS DE METALES COMUNES,24.6,3076.1,22.9,236.4,0,87.6,0,105.9,0.2,242.9,0,292.2,0,263,0,290.8,0,278.7,0,587.4,0.1,279.5,0.8,245.3,0.6,166.3
OTROS ACEITES ESENCIALES,62,25.3,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3,0,0,0,0,32.8,0,0,0
PAPEL Y CARTON,309.2,286,0,105.1,15.1,26.1,44.5,0,6.4,38.1,47.4,0,34,0.9,0,19.9,0,0,19.3,42.9,75.3,12.8,67.2,25.7,0,14.5
PINTURAS Y BARNICES,0,1937.9,0,191.4,0,38.8,0,130,0,157.6,0,147.9,0,210.3,0,78.6,0,263.2,0,154.2,0,131.9,0,251,0,183
PREPARADOS A BASE DE CEREALES,0.1,571.8,0,60.7,0,0.2,0,53.3,0,29.1,0,69.4,0,64.6,0,68.6,0,41.8,0,16.9,0.1,15.7,0,28.1,0,123.5
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",0,117,0,0.2,0,0,0,1.4,0,0.1,0,7.6,0,4.8,0,48.8,0,21.3,0,1.6,0,2.3,0,2.2,0,26.9
PREPARADOS DE LEGUMBRES Y HORTALIZAS,0,195.8,0,27.6,0,0.2,0,19.3,0,6.7,0,0,0,6.8,0,8.8,0,55.1,0,9.7,0,23.4,0,0,0,38.1
PREPARADOS DE FRUTAS,390.8,227.4,0,59.4,64,23.4,0,0,40,19.5,78.8,0,0,62.4,40,0,40,0.1,0,20.1,88,23.7,0,18.8,40,0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",0,716.6,0,108.5,0,56.7,0,4,0,83.2,0,30,0,52.9,0,38,0,83.2,0,101.2,0,30.2,0,68.4,0,60.5
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,65,4010.5,0,318.6,0,177.5,0,375.5,65,379.8,0,228.8,0,356.7,0,371.7,0,303.9,0,123.5,0,584.7,0,400.7,0,389.3
PRODUCTOS FARMACEUTICOS,3.2,5087.3,0,531.8,0,625.7,0,100.1,0,358.3,0,335,0,749.5,0,484.2,0,522.5,0,365.5,3.2,174.5,0,511.8,0,328.5
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",8.7,35.7,0.4,9.5,0,0,1.7,0.9,0,0.1,0,0.4,0,4.3,0,2.5,0.1,7.3,0,0.1,2.5,2.4,0.1,2.2,4,6
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",0,52.4,0,3.9,0,0,0,5.6,0,2.8,0,2.9,0,6.4,0,4.2,0,3.1,0,7.7,0,3.1,0,0,0,12.5
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",0,106.8,0,17.2,0,18.2,0,1.6,0,4.3,0,5.5,0,0.1,0,13,0,2.3,0,26.9,0,2.1,0,15.2,0,0.3
TUBERIA Y SUS ACCESORIOS,0,1754.9,0,161.1,0,73.6,0,56.8,0,187.8,0,284.5,0,49.9,0,68.9,0,148.1,0,191.7,0,246.9,0,248.6,0,37
VEHICULOS Y MATERIAL DE TRANSPORTE,150.6,8798.7,90.5,573.9,0,473.1,0,1141.4,44.2,941.2,0,503.1,0,929.2,0,694.1,0,1002,0,541.9,15.9,667.5,0,985.9,0,345.4
VIDRIO Y SUS MANUFACTURAS,5.6,1283.6,0.1,179.1,0,35.6,0,1.7,0,138.3,0,195.7,0,195.2,2.7,37.5,0,135.6,0,75.4,0.1,87.5,1.3,177,1.4,24.8
INDUSTRIAS EXTRACTIVAS,65476.7,13200.7,5569.9,131.1,11161.8,64.9,4509.1,189.8,4505.5,87.9,2018.7,178.9,4829.4,8.7,4814.9,104.1,2404.7,12192.7,97,170.4,955.5,18.5,9324.1,16.9,15286,36.8
ALUMINIO,0,738.1,0,100.4,0,39.7,0,177.5,0,44.3,0,140.3,0,8.5,0,96.1,0,14.6,0,99.6,0,0.3,0,10.6,0,6.3
ANTIMONIO,549.3,0,0,0,0,0,0,0,104,0,0,0,66.5,0,69.5,0,148.6,0,0,0,80,0,80.7,0,0,0
CEMENTO,0,10.6,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4
COBRE Y SUS MANUFACTURAS,0,10,0,1.5,0,0,0,0.8,0,0.3,0,0,0,0.1,0,0,0,1.6,0,0.8,0,2.1,0,0.5,0,2.3
GASES INDUSTRIALES,0,41.8,0,20.9,0,0,0,0,0,0,0,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GASOLINA,0,12129.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12129.5,0,0,0,0,0,0,0,0
GAS PROPANO,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIERRO Y ACERO,34856,63.3,5569.9,0,4472.9,0,4445.8,3.4,750.4,16.4,1981.6,17.4,884.6,0,693.6,2.5,2256.1,16.4,0,1.6,804.2,2.8,2802.4,2.7,10194.4,0
MAGNESIO,0,6.3,0,0.7,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0
OTROS DERIVADOS DE PETROLEO,0,140.7,0,0,0,22.9,0,4,0,25.9,0,0,0,0.2,0,0,0,30.6,0,35.3,0,0,0,0,0,21.9
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,0,13.1,0,3.2,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,3.1,0,0
PLOMO,29777,0,0,0,6645.6,0,0,0,3611,0,37.1,0,3878.3,0,4027.3,0,0,0,73.7,0,0,0,6440.9,0,5063,0
PRODUCTOS MINERALES DIVERSOS,4.5,46.6,0,0,4.5,0,0,4.1,0,0,0,0,0,0,0,5.5,0,0,0,28.5,0,8.5,0,0,0,0
ZINC,289.8,0.7,0,0.3,38.7,0,63.3,0,40.1,0,0,0.2,0,0,24.5,0,0,0,23.3,0,71.3,0.3,0,0,28.6,0
