,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
PINTURAS Y BARNICES,1594,0,111.6,0,120.1,0,125.3,0,43.9,0,168.2,0,62.4,0,196.7,0,71.2,0,270.9,0,111.3,0,120.4,0,191.9,0
PREPARADOS A BASE DE CEREALES,321.3,0,17.8,0,3.9,0,27.5,0,30.3,0,18.9,0,23.5,0,0,0,42.5,0,45.9,0,12.8,0,79.8,0,18.4,0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",117.4,0,0,0,0,0,0,0,12.2,0,0,0,0.1,0,46.4,0,5.5,0,0,0,50.4,0,0,0,2.9,0
PREPARADOS DE LEGUMBRES Y HORTALIZAS,254,0,24.2,0,0,0,57.6,0,12.5,0,0.8,0,16,0,23.9,0,15.1,0,23.8,0,53,0,23.5,0,3.6,0
PREPARADOS DE FRUTAS,106.1,45.3,21.9,0,0,0,0,0,0,0,0,0,40.9,0,0,0,0,0,21.1,0,22.2,0,0,0,0,45.3
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",484,0,66.2,0,61.9,0,43.2,0,58.7,0,29.7,0,0,0,93.6,0,19.9,0,5.1,0,42,0,63.9,0,0,0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,2289.5,0,123.7,0,103.7,0,173,0,292.6,0,245.8,0,30.8,0,155.1,0,171.7,0,443.4,0,232.8,0,128.9,0,188,0
PRODUCTOS FARMACEUTICOS,5101.5,2.2,513.2,0,457.5,2.2,486,0,710.3,0,328,0,642.2,0,698,0,88.2,0,104,0,416.4,0,533.5,0,124,0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",1.9,3.9,0.2,0,0,0.2,0.1,0.1,0,0.1,0.5,0.3,0.3,0,0,0,0.4,0,0.2,0.4,0,0.2,0.1,2.7,0,0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",25.4,0,2.8,0,0,0,6.7,0,0,0,0,0,5.7,0,0,0,2.2,0,2.4,0,0,0,2,0,3.6,0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",31.9,0.7,5.8,0,0.6,0,5.6,0.1,6,0.2,0,0.1,0,0,5.3,0,4.8,0.1,2.5,0.2,1.3,0,0,0,0,0
TUBERIA Y SUS ACCESORIOS,1182.1,0,7.7,0,56.1,0,34.1,0,18.3,0,769.9,0,129.1,0,47.4,0,15.9,0,40,0,8.5,0,18.8,0,36.2,0
VEHICULOS Y MATERIAL DE TRANSPORTE,1190.4,77.2,36.2,0,71.3,12,124.5,0,132,0,57.4,0,128.9,0,96.9,0,75.7,22.2,120.6,0,42.2,0,70.1,0,234.6,43
VIDRIO Y SUS MANUFACTURAS,559.9,16.9,125.6,0,9.9,0.1,0.3,0,2.5,0,40.8,0,32.3,4.5,30.1,0,51.9,0,186.6,0.6,1.4,0.1,78.3,11.7,0.2,0
INDUSTRIAS EXTRACTIVAS,15308.9,7,141,0,3835.1,0,7630.9,0,88.1,6.9,96.6,0,40.6,0,19.8,0,40.9,0,45.9,0,3314.5,0,10.1,0,45.4,0
ALUMINIO,363,0,97.8,0,0.3,0,12,0,86.4,0,95.5,0,2.1,0,4.8,0,13.4,0,31.6,0,18.7,0,0.2,0,0.1,0
CEMENTO,0.4,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COBRE Y SUS MANUFACTURAS,5.7,0,0,0,0,0,0,0,0,0,0.7,0,1.9,0,0,0,0,0,3.1,0,0,0,0,0,0,0
GASES INDUSTRIALES,247.7,0,43.1,0,0,0,204.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GASOLINA,11248.7,0,0,0,3834.3,0,7414.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIERRO Y ACERO,3321.1,6.9,0,0,0,0,0,0,0,6.9,0,0,25.8,0,0,0,0,0,0,0,3295.3,0,0,0,0,0
MARMOL,23,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,12.6,0,0,0,0,0,0,0,0,0
OTROS DERIVADOS DE PETROLEO,27.3,0,0,0,0,0,0,0,1.8,0,0,0,0.4,0,15,0,10.1,0,0,0,0,0,0,0,0,0
OTROS METALES COMUNES,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0
PRODUCTOS MINERALES DIVERSOS,66.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0.5,0,9.9,0,44.8,0
ZINC,0.9,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
