	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
MANUFACTURAS DE CERAMICA	893.8	2.7	435.8	0	47.8	0.3	1.5	0	13.5	0	131.2	0.2	27.4	0.3	23.7	0.5	19.7	0.5	4	0.5	54.2	0	1.2	0.1	133.9	0.2
MANUFACTURAS DE CUERO	57.8	1.4	0.4	0	5.1	0.7	0.6	0	1.3	0.2	0.4	0	12	0	0.6	0	0	0.1	7	0	0.4	0.1	6.2	0	24	0.3
MANUFACTURAS DE MADERA	70.2	300	0.9	0	0.1	0.7	0.3	0	1.7	32.5	0.9	0	15.6	0	0	27.5	0.5	4.6	30.5	33.6	0.1	27.3	0.4	77.7	19.3	96.2
MANUFACTURAS DE PAPEL Y CARTON	3270.4	217.6	299.9	4.7	114.1	3.4	107.6	10.7	325.9	38.2	310.8	31.2	210	21.6	251.7	16.6	287.2	26.1	202.2	19	409.4	11.9	530.7	23.4	220.9	10.8
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	997.1	0.3	57.2	0	108.3	0	78.3	0.2	183.1	0	27.2	0	2.6	0	162.9	0	121.1	0	82.4	0	38.7	0	44.3	0.1	91.2	0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	96.6	4.2	0.4	0	6.6	0	1.7	0.7	1.2	0.3	2.6	0	1.3	0.1	24.7	2.4	38.5	0.4	0	0	0.7	0.1	2.7	0.2	16.2	0
MANUFACTURAS DE PIELES	3.1	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANUFACTURAS DIVERSAS	5733.4	14.2	674.9	0	320.4	2.7	483.3	1.5	623.6	0.7	613	0.7	357.7	0.8	496.2	1.9	377.3	2	514.4	0.7	310.9	1.8	533.7	0	428	1.3
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	42960.5	862.6	1993.7	0	1678	0.3	1544.5	0.5	2934.2	3.1	5064.3	0.2	1845	1.6	2213.1	5.1	4890.2	0	2442.6	235.5	2533.8	4.7	8717.1	18.3	7104.2	593.4
MATERIALES PLASTICOS Y SUS MANUFACTURAS	7842.8	88.6	865.6	0	785.4	5.9	832.3	28	844	7.6	538.8	1.3	630.5	2.7	454.1	0.4	667.3	5	556.4	23.2	436.9	5.1	428.5	0.2	803.1	9.2
MATERIALES TEXTILES (TEJIDOS O TELAS)	206	10.6	9.3	0	4.7	2.1	73.9	0.2	1.1	5.7	1.5	0	9.6	0	45.7	0	16.6	2.4	7.6	0	9	0.1	9.8	0.1	17.2	0
MOTA DE ALGODON	0	137.5	0	0	0	22.1	0	11	0	11.1	0	11	0	20.4	0	11.2	0	10.2	0	10.1	0	10.3	0	10.2	0	9.9
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	375.3	19.7	32.2	0	7.4	1.2	13.4	0.6	0	0	153.3	0.6	2.1	2.3	7.7	4.7	78.4	2.8	60.2	4	16.1	0	3.8	0.7	0.8	2.8
NEUMATICOS Y TUBOS	448.9	0.1	59.8	0	13.6	0.1	126.5	0	11.4	0	3.9	0	1.3	0	7.1	0	37	0	59.9	0	7	0	29	0	92.3	0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	16.8	1.8	0.6	0	0.3	0	8.5	0	0	0	5.2	0.1	0	0.2	0.7	0.3	0.3	0.5	0.1	0.5	0.5	0	0.3	0.1	0.3	0.1
OTRAS MANUFACTURAS DE METALES COMUNES	2670.1	3.6	165	0	117.7	0.3	539.7	0.2	148.8	0	139.5	0.3	485.9	0.3	144.5	0.5	156.2	0.8	300.8	0.7	215.8	0	172.1	0.1	84	0.4
OTROS ACEITES ESENCIALES	37.7	67.6	0.5	0	0.8	5.3	0.8	0	0	0	0	3	18.1	0	0	21.4	11.9	8.7	0	14.2	4	11.8	1.5	0	0	3.3
PAPEL Y CARTON	916.6	0	61	0	0	0	158.3	0	8	0	98.4	0	88.8	0	140.3	0	85.7	0	97	0	24.8	0	122.1	0	32.2	0
PESCADO Y MOLUSCOS	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
PINTURAS Y BARNICES	4690.3	0	290.6	0	315.8	0	699.7	0	527.3	0	236.5	0	484.8	0	216.1	0	298.9	0	779.7	0	343.5	0	291	0	206.4	0
"POLVORA, EXPLOSIVOS Y ARTICULOS DE PIROTECNIA"	0.2	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PREPARADOS A BASE DE CEREALES	170.2	0.1	0	0	41	0	1.8	0	0.9	0	0.9	0	0	0	22.8	0	0	0.1	0	0	32.9	0	44.5	0	25.3	0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	73.7	0	8.4	0	0	0	7.5	0	4.4	0	4.4	0	6.4	0	8.8	0	6.2	0	1.4	0	13.7	0	4.4	0	8.3	0
PREPARADOS DE LEGUMBRES Y HORTALIZAS	537.1	487.4	1.4	326	113.5	0	96.1	10	17.9	0	38.7	26.7	119.1	43.7	8.8	0	39.4	25.8	11.9	29.5	69.4	0	7.3	25.7	13.5	0
PREPARADOS DE FRUTAS	94.8	276.3	0	30.3	0	0	9.6	18.2	6.9	13.9	0	20.3	28.1	14.9	28.7	81.3	0	64.1	0	17.1	3.2	0	17.5	16.4	0.9	0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	1521.4	0.5	300.4	0	94.3	0	151.1	0	111.3	0	263	0	113.7	0	97.2	0	68.5	0.5	92.7	0	130.4	0	54.4	0	44.4	0
