,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
MANUFACTURAS DIVERSAS,8364.8,236.2,595.1,0.4,368.5,7,557.7,7.2,597.3,46.5,587.4,59,572.1,2.9,577.1,30.4,1757.4,6.2,662.6,43.6,897.9,3.7,812.4,0.6,379.3,28.9
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,74679.1,1751.5,8814.5,108.2,3035.3,119.9,4238.8,13.8,7649.9,60,6355.7,3.1,5897.2,3.3,6195.9,687.6,12508.3,310.2,6457.2,0,6691.4,12.9,4114.5,14.1,2720.4,418.4
MATERIALES PLASTICOS Y SUS MANUFACTURAS,9915.9,135.7,912.8,0,792.1,0.1,1099.8,2,893.9,0.3,890.8,0.9,397.4,37.5,1062.3,0.5,620.6,30.4,1022.6,0,1020.5,30.6,507.8,1.6,695.3,32
MATERIALES TEXTILES (TEJIDOS O TELAS),280.7,15.8,112.1,0,11.3,0,1.2,0,6.8,2.9,30.8,1.5,21,3,35.1,0.6,8,0.6,5.6,0.8,26.7,3.7,13.7,1.2,8.4,1.5
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",743.9,10.2,77.2,0,19.6,0,44.2,0.1,37,0,78.2,0,23.7,2.9,53,1.9,47,1.4,131.4,0,69.4,0,70.6,3.9,92.6,0
NEUMATICOS Y TUBOS,767.3,0.1,61.2,0,55.4,0,47.2,0,69.3,0,76.5,0,47.7,0,68.1,0.1,31.5,0,24.4,0,129,0,96.1,0,61.1,0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",27,3.6,0,0,0.1,0,6.3,0.2,5.3,0,6.3,1,0.3,0.7,0,0.4,4,0.2,0.7,0,0,0.1,3.7,1.1,0.4,0
OTRAS MANUFACTURAS DE METALES COMUNES,2867,6.9,383,0,105.4,0,210.5,0.5,140.6,0,232.5,0.1,244.4,1.7,244.6,1.8,332,0.3,303.5,0,415.8,0.2,106.6,2.3,148,0
OTROS ACEITES ESENCIALES,118,409.3,11.1,41.6,3.4,82.6,3.8,45.7,8.9,63.2,25.8,9.1,5.1,27.9,11.9,0,0,0,4.4,60.4,39.3,8.9,0,28.2,4.2,41.7
PAPEL Y CARTON,7819.7,66.3,657.6,0,367.3,0,1289.1,0,282.7,0,1052.5,0,375.4,0,597,0,734,0,641.3,7.1,833.3,0,585.2,34.8,404.2,24.4
PESCADO Y MOLUSCOS,83.9,0,80.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0
PINTURAS Y BARNICES,4223.3,15.1,454.4,0,257,0,441.6,0,482,0,296,0,399.3,15.1,452.7,0,314.2,0,347.7,0,361.4,0,150.8,0,266.3,0
PREPARADOS A BASE DE CEREALES,1886.4,0.5,65,0,82.2,0,202.7,0,67.4,0,372.5,0.5,298.9,0,95,0,176,0,92.1,0,186.6,0,114.7,0,133.2,0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",1818,0,0.1,0,363.5,0,60.2,0,0.1,0,0,0,358.5,0,232.1,0,267.5,0,419,0,72.5,0,38.9,0,5.6,0
PREPARADOS DE LEGUMBRES Y HORTALIZAS,948.1,221.2,67.4,0,56.9,0,217,46.7,0.7,46.6,139.8,0,11.9,0,115.1,43.2,0,0,95.3,42,53.8,0,81.6,0,108.4,42.7
PREPARADOS DE FRUTAS,69.7,1248,4.1,83.2,0,61.6,11.1,118.2,15.1,98.7,1.2,193.2,6.4,96.3,0,188.1,3.1,86.8,15.3,122.3,2.6,102.8,10.8,48.6,0,48.1
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",5430.4,0.2,280.7,0,481.7,0,209.8,0,738.4,0,406.4,0.2,485.6,0,360.8,0,469.4,0,562.5,0,169.5,0,461.6,0,803.9,0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,33812.5,3,5798.9,0,1376.2,0,1339,0,3039.9,0,2778.2,0,3293.1,3,4050.3,0,2584,0,1910,0,3943,0,1830.1,0,1869.8,0
PRODUCTOS FARMACEUTICOS,12774.7,208,827.4,0,985.8,0,1096.3,83.7,1259.2,124.3,1556.4,0,755,0,1826.9,0,778.8,0,1622.8,0,215.7,0,1020,0,830.3,0
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,125.9,0,31.9,0,36.6,0,0,0,0,0,0,0,0,0,0,0,0.5,0,26.3,0,26.3,0,1.2,0,3.2,0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",27.3,2.1,2.6,0,0.8,0,2.2,0.3,3,0.4,1.6,0.1,1.3,0.1,0.9,0.1,0,0.1,10.2,0,0.4,0,1.8,0.6,2.5,0.2
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",95.8,0,0,0,4.6,0,5.3,0,9.5,0,0.4,0,2.6,0,14.6,0,11.4,0,8.6,0,16.6,0,0.3,0,21.9,0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",232.9,2.3,11.7,0,4.5,0,5.7,2.1,5.2,0,22.3,0,21.7,0.1,9.9,0,8.9,0.1,4.7,0,18.9,0,30.5,0,89.1,0
TUBERIA Y SUS ACCESORIOS,3483.8,11.4,462.6,0,136.7,0,183.5,10.1,110.1,0,160.2,0,177.9,0,250.7,1.3,490.4,0,694.1,0,203.6,0,297.2,0,316.9,0
VEHICULOS Y MATERIAL DE TRANSPORTE,55150.1,130.7,6990.4,2,1063.5,7.4,6266.4,4.7,6666.4,0,3861.9,9.8,3691.5,19.1,5819.9,5.8,4304.7,71.8,4658.6,0.8,4816.2,9.4,2872,0,4138.5,0
VIDRIO Y SUS MANUFACTURAS,600.3,1,53.8,0,39.1,0,22.3,0.1,16.9,0,78.1,0,51.6,0.3,30,0.4,63.5,0.1,18.8,0,123.3,0,53.8,0.2,49,0
INDUSTRIAS EXTRACTIVAS,4844.1,62.4,615.9,0,277.5,16.7,307.1,3.5,332.5,0,693.3,3.1,426.5,15.6,344.3,0.2,338.9,0,214.9,2.9,777.1,0,282.7,20.4,233.6,0
ALUMINIO,1735.6,0,345.5,0,19.4,0,1.7,0,36.6,0,435.7,0,259.2,0,87.3,0,181.9,0,3.8,0,167.2,0,145.2,0,52.2,0
COBRE Y SUS MANUFACTURAS,171.9,61.4,18.7,0,15.3,16.7,6.9,2.9,18,0,12.6,2.9,6,15.5,27.4,0,14,0,14.4,2.9,24.9,0,6.3,20.4,7.4,0
ESTA&O,86.2,0,25.9,0,18.8,0,6.6,0,0,0,0,0,0,0,0,0,7.1,0,16.8,0,11.1,0,0,0,0,0
GASES INDUSTRIALES,146.4,0,12.2,0,13.4,0,12.2,0,16,0,8.3,0,11.7,0,16.6,0,4.1,0,4,0,11.5,0,20.9,0,15.5,0
GASOLINA,27.7,0,0,0,2.7,0,0,0,1.7,0,1.7,0,4.1,0,2.8,0,0,0,0,0,12.1,0,0,0,2.6,0
HIERRO Y ACERO,610.9,0.3,2.4,0,20.9,0,14.9,0,0,0,31.3,0.2,19.4,0,35.6,0.2,98.5,0,121.2,0,213.8,0,52.6,0,0.3,0
MAGNESIO,4.7,0,0.2,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0
OTROS DERIVADOS DE PETROLEO,1246.5,0,84.5,0,55.3,0,117.7,0,135.1,0,201.7,0,108.6,0,173.3,0,29.1,0,54.3,0,125.9,0,52.7,0,108.3,0
OTROS METALES COMUNES,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,2.6,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRODUCTOS MINERALES DIVERSOS,804.7,0.6,126.1,0,131.1,0,143.1,0.5,125.1,0,1,0,16.9,0,1,0,3.7,0,0.2,0,206.3,0,4.3,0,45.9,0
ZINC,5.8,0,0.3,0,0.7,0,1.4,0,0,0,0.7,0,0.6,0,0.3,0,0.5,0,0.2,0,0.1,0,0.6,0,0.3,0
