,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
MANUFACTURAS DE MADERA,119.8,377.4,24.9,4.1,0.2,14.6,0,19,0,45.8,30.5,95.6,0,6.7,24.4,3.5,30.8,13.9,0,55.6,8.6,23.4,0,94.5,0.5,0.7
MANUFACTURAS DE PAPEL Y CARTON,193,3058.2,0.1,245.7,0.3,198.7,46.6,213.8,22.3,248.3,5.5,430.5,85.3,193.8,3.1,155.2,26.4,105.6,0,203.1,0,593.8,0,314,3.4,155.8
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",0.4,932.4,0,99,0,194.9,0,91.9,0,101.5,0,0.9,0,43.8,0,156.1,0,17.5,0,47.4,0,44.7,0,85.5,0.4,49.4
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,8,990.4,0,0.1,0,468.2,0.5,514.7,1.1,1.1,0.2,0.2,1.9,1.2,0,0.1,0.8,1.3,0,0.5,0.1,0,3.2,1.2,0.3,1.7
MANUFACTURAS DIVERSAS,91.4,12307.8,7.3,676.8,20.1,532.5,0.2,520.8,1.1,438.6,2.6,929.7,16.6,642.4,5.8,802.3,21.2,922.8,2.4,875.4,11,3021.6,1.6,1898.6,1.7,1046.4
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,986.3,69777.2,1.1,4473.2,87.9,3703.9,170.1,4576.3,94.5,10238.8,23,6899.3,10.5,5229.8,7.3,5607.9,143.4,3718.4,30.6,4637.4,7.9,7429.2,2.5,5346.2,407.7,7916.8
MATERIALES PLASTICOS Y SUS MANUFACTURAS,173.7,11693.2,0,709.4,0,726.7,0.5,812,0,2639.6,0.3,923.6,0.1,854.8,1.2,1095,2.1,870.9,158.7,681.8,0,926.4,0,748.7,10.9,704.4
MATERIALES TEXTILES (TEJIDOS O TELAS),44.9,197.6,0.1,7.3,2.4,26.7,1.3,0.4,2.1,12.6,7.5,8.7,3.9,8.9,7.2,30.5,6.9,42.2,12.3,8.9,1.1,22.5,0.3,9.9,0,18.9
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",5.5,524,0,27.4,0.1,31.3,0,5.5,0,72.6,0,46.5,2,54.6,0.4,30.3,1,23.9,0,34.3,0,55.6,0,85.2,1.9,56.7
NEUMATICOS Y TUBOS,0,740.3,0,26,0,28.1,0,90,0,139.9,0,54.1,0,40,0,112.9,0,28.7,0,56.9,0,51.8,0,88.3,0,23.7
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",0.6,11.6,0,10.4,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0.8,0,0,0,0,0,0,0.5,0
OTRAS MANUFACTURAS DE METALES COMUNES,568.4,2905.6,0.1,213.3,0,249.9,0,116.1,0.1,164,0,221.2,0,225.4,0.2,554.6,0.1,189.4,7,265.5,0,154,0,299.2,561,253.1
OTROS ACEITES ESENCIALES,674.9,125.8,85.3,6.8,58.2,14.6,7.3,0,34.5,16.7,53.9,12.6,26.2,17.7,85.4,0,75.1,40.3,27.8,0,58.2,0,99,17.2,64.1,0
