	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	10630	13002.8	746.7	508.8	793.9	741	1074.7	1177.6	964	902.9	721.8	899.9	983.5	1016.2	948.8	2166.1	876.1	1593.2	990.5	1491.4	771	888.4	958.8	841.4	800.2	775.8
CAFE SOLUBLE Y MOLIDO	2685.2	540.4	326.1	0	138.6	0	325.8	275.6	432	263.9	373.9	0	125.1	0	92.9	0.5	301.9	0	263.6	0	4.3	0.5	129.3	0	171.7	0
CALZADO	2250.8	1774.6	38.9	39.5	205	82.6	287.1	91	62.7	130.4	103.8	22.9	217.6	154.9	119.5	208.4	128.4	287.8	271.9	249.5	489.5	158.6	183.7	240.5	142.7	108.5
CAMARON Y LANGOSTA	293.7	25574.8	150.8	5190.8	0	2905.8	0	1165.6	0	2021.4	0	3588.8	0	2054.1	0	3101	0	955.7	0	265	0	259.6	142.8	1803.6	0	2263.4
CARNE	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	0	0
CERAS	751.2	640.3	64.2	109.7	50.5	32.5	55	13.8	32.8	46.1	55.8	68.8	79.1	14.4	20.3	15.1	42.4	87.5	53.2	169.5	117	22.9	88.3	49.6	92.4	10.4
CLAVOS Y TORNILLOS	1685.2	27	55.7	0.1	91	5.9	116.4	0	134.7	0.6	92.5	0	384.1	0	107.3	0	54	0	154.9	0	162.4	0	235	19.9	97.3	0.5
DETERGENTES Y JABONES	30215.1	502	2196.6	56.6	2607	9	2325.3	1	2718.1	70	2738.2	33.5	2092.7	36.6	3496	34.1	2915.9	49.9	2627.7	68.2	2772.3	83	2411.4	41.3	1314.1	18.8
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	333.7	4.3	22	0	17.4	0	26.5	3.9	26.6	0	43	0	33.4	0	21.3	0.1	15.1	0.1	28.1	0.1	35.6	0.1	52.6	0	12.1	0
GLICERINA CRUDA	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0
GRASAS Y ACEITES COMESTIBLES	3448.8	103982.4	289.4	3264.6	278.9	4280	228.3	8174.2	314.2	11522	257.6	10366.6	346	8996.3	264.1	11398	325.5	10563.4	495.9	10022.8	265.3	12172.9	232.6	7931	150.8	5290.5
HARINAS DE CEREALES	10833.9	1128.1	740	437	410	73.4	477.3	18.3	836.4	55	700.8	18.3	578.3	181.4	1172.8	56.8	1258.1	40.3	1176.6	80.6	1097.5	71.3	1118.1	95.5	1268.1	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	12298.8	128.8	1837.5	0.6	840	0.1	702.6	1.5	1176.9	0	904.7	0.8	1021.7	1.6	866.4	0.6	928	27	826.9	20.1	1140.7	1.1	839.7	2.7	1213.5	72.7
HILOS E HILAZAS	9016.1	6433	639.4	386	755.1	495.6	829.8	439.7	968.4	588.5	812.2	484.9	737.9	558.4	974.2	361.9	421.6	569.6	546.1	536.2	785.3	310	723.9	1091.6	822.3	610.6
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	22011.7	5790.4	1331.5	131.7	1491.7	583.3	2032	763.3	3141.3	562.5	3226.9	1603.5	2906	1315.7	1469.9	479.3	1652.2	279.5	1972.7	71.6	1465.8	0	703.2	0	618.4	0
INSTRUMENTAL MEDICO Y OTROS	7716.4	379.9	670.3	141.2	907.7	16.6	1399.5	25.9	667.4	0	436.6	39	377.6	4	707.9	10.2	417.6	21	329.5	12.1	736.7	6.7	691.3	91.2	374.4	12.1
JOYERIA DE FANTASIA	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	2379.5	1856.6	71.9	11.9	113.3	8.6	21.9	13.8	105	0.3	218.7	0.5	100.8	2.7	922.9	56.6	100.6	742.5	203.7	735	97.9	275.6	250.9	8.9	172	0.3
LAMINA Y ALAMBRE	22488.9	532.5	3524	0.1	2072.2	115	1796.1	114.3	2126.9	62	1205.5	0	3419.1	47.4	1717.8	36.5	1904.1	43.6	1695.3	0	1133.7	49.9	1274.5	40.3	619.8	23.5
LECHE Y OTROS PRODUCTOS LACTEOS	30927.8	842.1	2858.8	33.6	3090.3	64.2	2640.5	49.4	3483.2	119.2	1953.8	104.7	2171.4	78.3	2913.8	74.9	1907.3	68.9	2316.1	106.9	2085.3	68.2	2125.3	27.6	3382	46.2
MADERA EN TROZA	0.1	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANUFACTURAS DE CAUCHO	4854.6	154.1	348.9	8.7	440.1	0.5	297.5	67.3	433.3	7.7	395.8	10.6	240.1	7.6	469.2	11.5	639.6	14.4	431.3	10.8	387.4	2.1	414.8	13	356.6	0
MANUFACTURAS DE CERAMICA	9323.5	1680.1	606.7	67.2	747.3	186.5	714.5	139.9	1203.8	195.7	540.2	191.4	485.6	59.7	685.3	130.6	1214.5	263.9	969	221.4	1025.3	148	618.4	58.2	513	17.6
MANUFACTURAS DE CUERO	100.3	146.5	3.3	0	20.4	11.8	0.4	4	4.8	0	4.4	7	6.1	57.8	8.1	1.3	5.8	34.6	23.9	22.3	6.4	0	2.6	1.7	14.1	6
MANUFACTURAS DE MADERA	6448.9	5127.8	503.5	491.4	362.6	332.9	521.7	253.7	794.4	392.6	613.1	490	444.2	606	609.6	597.4	654.7	955	274.5	404.6	545.4	217.5	454.1	193	671.1	193.6
MANUFACTURAS DE PAPEL Y CARTON	58978	5383.5	5533	389.1	4387.8	265.5	3716.5	197.7	4087.2	377.3	3647	192.2	4046.9	403.5	5571.6	795.5	3889.4	872.5	4449.7	457.3	6547.9	531.2	6622.8	561.6	6478.3	340
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	7300.7	286.5	574.4	6.7	532.7	9.1	510.4	25.4	669.6	42.1	609.2	37.7	552.8	59.1	535.5	10.2	550.9	15.7	757.6	37.7	518	19.1	651	10.9	838.8	12.8
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	781.8	65.6	39.7	0	9.3	18.2	37.3	1	66.3	0.4	74.6	0.6	53.1	18.5	111.8	0	57.4	26.2	51	0.2	116.5	0.5	100.1	0	64.5	0
MANUFACTURAS DE PIELES	2810	310.4	79	0.5	57.7	0	16.2	0	260.3	0	125.3	0	178.3	7.3	312.4	0	403.3	302.6	246.6	0	471.8	0	153.3	0	505.7	0
MANUFACTURAS DIVERSAS	29416.5	6363.3	3427.9	592.4	1884	306.8	1202.7	257.8	1531.9	217.6	2103.4	538.3	2383.6	404.1	2593.7	357.7	3383.9	1649.9	2453.1	517.6	4147.9	470	2233.8	529.5	2070.7	521.7
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	131264.6	5644.8	13458.3	307.5	6740.7	1827.4	10841.6	159.4	10974	609.2	12376.3	381.1	9432.2	63.4	11555.8	137.2	12293.2	59.3	10818.3	132.8	12967.8	368.8	12058	934.2	7748.5	664.3
MATERIALES PLASTICOS Y SUS MANUFACTURAS	117179.7	10747.8	7822.7	614.4	9472.6	816.8	7924.4	511.2	11639.8	798.9	10296.6	582.1	8739.5	1129.1	10454.8	1009.7	11138.1	585	11380.1	812.6	12327	1243.9	8535.1	1128.6	7448.9	1515.6
MATERIALES TEXTILES (TEJIDOS O TELAS)	19080.7	35134.7	1289.3	2478.1	940.9	1972.7	1054.1	1664	1520.8	2470.7	1616.3	2058.9	1034.2	3816.4	2103.7	4427.6	2531.5	4281.4	2638.9	3897.5	2208.2	3781.8	1387.7	3182.4	754.9	1103.2
MOTA DE ALGODON	0	29.9	0	0	0	6.3	0	0	0	10.8	0	0	0	0	0	5.7	0	0	0	0	0	7.1	0	0	0	0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	5104.5	361.6	328.6	46.8	259.8	34.7	257.3	9	450.3	8.6	255	42.9	305	2.8	703.5	28.5	487.7	55.7	367.6	50.7	828.7	29.5	422.1	38.6	438.8	13.9
NEUMATICOS Y TUBOS	4151.6	53	245.4	0	283.5	0	344.3	0	385.2	0	384.1	0	405.9	53	360.2	0	419.9	0	321.4	0	463.1	0	260.5	0	278	0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	28.9	21.5	0.3	0.3	0.3	0.1	0.1	0.2	0.3	0.4	5.5	0.4	0.1	0.8	0.6	0.6	1.6	0	0.6	0.3	0.1	0.3	17.5	9.5	2	8.6
OTRAS MANUFACTURAS DE METALES COMUNES	61995.7	3669.2	4750	256.5	7786.5	247.5	4239.2	148.8	8932.2	332.3	4354.9	316.7	4411.5	300.2	3525.5	195.1	4465.7	360.6	4274.8	331.6	5068.6	379.4	5498.5	379.1	4688.3	421.4
OTROS ACEITES ESENCIALES	3873.4	191.9	256.1	74.1	410.1	4.2	223.5	7.9	373.7	81	312.4	0	243.7	0	403.9	16.1	346	0	385.2	2.5	302.2	6.1	346.9	0	269.7	0
PAPEL Y CARTON	7844.7	474.5	393.4	48	463.2	37.2	172.1	47.6	387.6	27.1	342.3	65.2	404.5	66	586.5	24.5	1466.6	19.9	373.4	7.9	1561.3	25.4	1455.5	69.1	238.4	36.8
PESCADO Y MOLUSCOS	97.4	858.3	9	55.1	19.6	164.2	9	40	10	0	13.4	25.5	0	0	0	103.8	0	82.5	24.1	177.4	0	9.2	6.2	158	6.2	42.6
PIELES Y CUEROS	0	3757.2	0	262.9	0	241.5	0	163.9	0	247.4	0	289.7	0	599	0	578.8	0	344.4	0	332.2	0	299.2	0	248.6	0	149.6
PINTURAS Y BARNICES	27689.6	1864.7	1949.8	91	2166.1	104.9	2551.4	69.9	2469	59.5	2125.8	91.9	2523.8	200.5	2365	39.5	2340.3	53.6	2043.2	56.8	2778.9	72.7	2159	105.4	2217.6	919.2
"POLVORA, EXPLOSIVOS Y ARTICULOS DE PIROTECNIA"	1967.8	0	27.8	0	66.7	0	113	0	22.2	0	278.7	0	250.1	0	28.3	0	426.3	0	94.8	0	276.3	0	246.6	0	137.1	0
PREPARADOS A BASE DE CEREALES	36760.7	10493.1	3226.6	1100.5	2955.3	848.5	3265.6	844.4	3358.9	1003.7	3747.6	807	2881.8	1059	2980.6	832	2435.3	736.6	3112.8	585.1	2991.8	1234.1	2967.3	676.3	2837.1	766
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	9375.7	10074.7	702.8	276.7	657.6	738	706.7	640.9	778.3	546.6	916.4	776.5	811.1	870.3	969.1	1127.5	865.6	862	801.6	1074.8	920.4	1216	621.7	1154.4	624.4	791
PREPARADOS DE LEGUMBRES Y HORTALIZAS	1532	985.3	66.5	117.3	123.7	60.1	77.6	50.7	72.1	160	116.1	69.9	123.7	25.9	187.9	82	241.1	236.3	137.5	78.3	144.7	0.5	117.3	52.5	124	51.7
PREPARADOS DE FRUTAS	4272.7	2795.4	330.1	254	367.8	139.9	221.6	121	384.5	197.9	278.4	264.4	461.2	48.3	460.9	262.3	514	192.3	425.6	237.1	518.8	438.5	215.8	481	94.1	158.6
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	61246.6	664.2	4016.6	86.9	4070.8	4.4	3840.9	1.6	5100.7	10.4	4190.8	5	3434.9	27.1	5186.6	0	5261.1	76.2	5719.2	77.4	8064.2	61.5	6301.9	69.2	6058.8	244.4
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	108032.7	2539.2	8137.7	23.5	8376.3	366.1	7180.9	50.7	10166.9	68.1	11625.4	329.9	9136.7	152.2	8874.8	442.9	9534.9	235	9860.5	459	9915.7	29.4	8590.9	277	6632.1	105.4
PRODUCTOS FARMACEUTICOS	60262.3	5079.1	4541.9	223.1	4722	589.2	5671.3	23.7	6090.8	493.6	5118.3	494.8	4487.5	694.8	5486.6	256.2	4561.3	266.3	4825.6	780.4	5046.2	488.5	5041.4	461.5	4669.2	307
