	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
PREPARADOS DE FRUTAS	5039.7	6782.1	285.4	816.1	237.9	380.3	586.8	403.3	358.3	430	696.8	593.1	314.9	575.7	424.9	535.6	596.3	729.7	456.7	563.5	660.8	695.5	234.5	477.8	186.3	581.6
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	2384.7	116776.3	1.7	9256.6	399.5	8615.2	6.9	9556.8	28.8	8320.7	21.6	9297.6	24.7	10156.2	28.4	10467.9	88.9	11285.6	18.7	9242.2	235.8	12518.9	867.5	8967.9	662.5	9090.6
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	3006.1	128108.1	33.8	8812	223.8	9533.2	379.3	11408.2	269.6	9774.7	288.3	11677.9	124.3	9683.4	278.3	11311.6	226.6	12180.1	413	11982.9	250.3	12963.8	91.1	9122.3	427.7	9657.9
PRODUCTOS FARMACEUTICOS	1878.8	62882.5	95.9	5444.3	441.8	4212.7	49.9	6943.5	136.5	3857.3	105	6408.8	301.5	4710.9	2.5	4724.2	178	6641.6	0	4150.7	333.9	5574.2	69.8	5086.9	164.2	5127.3
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	0.2	292.2	0	5.4	0	27.3	0	26.2	0	8.5	0	82.5	0.1	24.8	0.1	0.7	0	36	0	10.9	0	8.6	0	48.5	0	12.7
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	759.5	3026.3	71	266.9	137.9	456	57.7	372.8	83.1	76.8	85.8	174.5	12.6	161.8	49.7	93.1	28.5	91.1	23.3	1067.4	76	106.1	93.6	118.2	40.2	41.8
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	3327.8	21324.7	98	1836.2	164.1	974.9	181.1	2255.1	265.8	1635.1	549.9	1839.8	543.8	2435.6	144.8	1354.1	311.7	2111	209.3	1756	318.8	2025.8	256.7	1185	283.7	1916.3
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	11.9	1621.2	0.1	121.6	0	110.9	0	56.4	0.2	14	5.3	269.4	0	44.5	0	61.5	0.1	265.7	0.1	131.5	5.2	17.3	0.3	329.6	0.4	198.8
TABACO ELABORADO	0	5152.1	0	342.1	0	508.4	0	188.9	0	371	0	317.7	0	108.8	0	439.1	0	332.5	0	298.4	0	795.5	0	332.8	0	1117
TUBERIA Y SUS ACCESORIOS	5405.9	17776.2	407.3	1553.3	555.7	1283.3	490.2	1551.1	380.7	1633.3	564.2	1482.3	293.2	1302.7	563.3	1426	498.1	1505.6	183.5	1888.5	671.2	1931.6	256.5	1272.3	541.9	946.3
VEHICULOS Y MATERIAL DE TRANSPORTE	1886.1	87126.1	267.8	9296	83.9	5819.2	136.9	7053.8	46.4	6708	91.2	9415.9	35.1	8506.5	168.7	5590.4	372.9	6296.2	60.1	6853	29.6	5630.9	369.6	4849.4	224	11107
VIDRIO Y SUS MANUFACTURAS	989.8	11753.6	0.5	849.7	0.9	1009	1.8	784.9	1.9	561.8	19.4	1297.2	1.9	968.6	53.9	770.1	383.9	677.8	50.3	1073	40.8	1784.2	243.1	1137.1	191.4	840.5
