,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
CERAS,"1,683.80","2,535.50",164.10,147.00,121.30,146.30,182.10,161.2,117.60,262.3,147.20,134.60,112.20,188.80,213.00,219.70,164.90,162.00,41.00,302.30,113.80,291.30,159.00,243.10,147.60,277.10
CLAVOS Y TORNILLOS,44.50,"5,330.60",8.10,290.40,1.00,194.10,0.70,358.90,6.60,442.20,2.50,191.20,0.10,368.30,0.30,322.20,11.30,378.60,0.40,"1,347.80",1.20,890.50,5.30,308.90,7.00,237.40
DETERGENTES Y JABONES,"13,017.00","52,632.20",913.90,"4,067.90",493.80,"3,988.40",793.70,"5,541.20","1,446.70","4,715.40",910.80,"4,611.70",814.80,"3,083.80","1,049.30","3,928.30","1,361.90","6,065.50","1,190.60","3,999.30",846.90,"3,572.70","1,578.70","4,641.70","1,616.00","4,416.30"
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",8.20,140.90,0.30,2.10,0.20,13.50,2.00,6.30,0.00,9.30,1.00,10.50,0.00,16.10,0.20,13.90,0.30,1.70,0.20,17.30,0.20,24.60,0.00,16.90,3.60,8.60
GLICERINA CRUDA,11.20,0.00,0.00,0.00,11.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GRASAS Y ACEITES COMESTIBLES,"139,705.30","3,146.30","10,858.60",178.00,"13,216.70",93.30,"11,799.90",296.30,"10,367.90",224.00,"12,784.30",289.40,"8,338.30",252.90,"9,071.40",245.40,"17,403.40",302.30,"13,277.00",277.00,"8,992.40",236.60,"10,127.20",351.60,"13,468.20",399.30
HARINAS DE CEREALES,942.70,"17,477.80",55.10,"1,360.30",86.40,"1,635.00",54.20,"1,419.30",135.60,"1,493.80",100.50,"1,527.60",44.80,"1,389.00",76.90,"1,549.20",54.80,"1,621.70",187.90,"1,182.20",59.00,"1,379.70",59.90,"1,472.90",27.70,"1,447.10"
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,418.90,"19,360.60",15.90,"1,863.10",35.40,"1,362.10",2.40,"1,733.90",170.50,"1,501.20",0.90,"1,515.60",1.90,"1,558.80",0.90,"1,642.30",161.40,"1,298.20",0.90,"1,399.00",2.30,"1,781.90",0.90,"1,824.90",25.40,"1,879.40"
HILOS E HILAZAS,"1,873.80","7,581.60",149.40,486.20,126.30,434.60,112.20,510.30,106.40,491.00,60.70,845.60,134.10,652.20,105.60,640.90,242.70,563.30,274.70,479.60,55.40,639.10,182.20,"1,148.30",324.20,690.50
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES","16,333.10","25,787.30",0.00,"1,822.30",252.20,"1,620.20",535.80,"1,729.70","1,229.70","3,007.10","1,626.10","2,819.90","1,850.30","1,678.90","1,409.80","2,215.70","1,071.10","3,269.80","4,374.80","2,029.10","2,531.60","1,335.80",547.70,"1,749.00",904.10,"2,509.90"
