,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
PREPARADOS A BASE DE CEREALES,"42,000.80","6,312.60","2,997.20",636.70,"2,682.30",506.50,"3,673.00",610.20,"2,532.30",386.20,"3,475.20",654.50,"2,915.10",874.40,"3,528.40",400.30,"3,083.20",329.30,"3,561.30",344.40,"5,126.90",363.00,"4,910.70",598.90,"3,515.20",608.30
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS","8,933.20","15,584.60",716.10,"1,275.10",650.50,"1,008.90",653.70,924.20,616.60,"1,241.40",544.60,"1,175.50",683.30,"1,504.90",867.20,"1,828.10",761.40,"1,862.70",759.10,"1,072.20",848.70,"1,192.20",708.40,"1,244.70","1,123.60","1,254.60"
PREPARADOS DE LEGUMBRES Y HORTALIZAS,"2,965.00",752.20,154.70,0.70,145.40,0.30,301.20,55.70,254.00,94.00,445.30,0.90,236.50,66.40,326.10,66.10,281.80,52.90,306.40,53.10,327.40,160.10,169.10,101.70,17.20,100.40
PREPARADOS DE FRUTAS,"3,297.60","2,207.40",296.30,122.70,170.70,49.20,202.50,173.60,258.80,132.20,173.20,133.50,204.50,127.50,452.90,80.70,278.90,210.50,415.10,139.60,297.10,293.70,378.70,356.60,168.80,387.70
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS","86,688.80",197.20,"5,806.20",0.80,"6,367.40",3.00,"7,049.10",1.30,"6,513.80",0.00,"7,964.40",0.00,"7,370.00",9.20,"8,290.70",11.80,"7,459.60",30.50,"7,872.60",20.50,"7,728.30",21.40,"7,658.40",0.00,"6,608.40",98.80
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,"86,090.60","1,043.90","5,958.20",61.60,"6,777.70",18.50,"7,185.50",75.60,"5,729.30",145.40,"7,558.80",47.40,"6,691.00",4.40,"9,169.70",343.40,"7,561.80",19.90,"7,246.60",60.10,"8,008.00",22.60,"7,063.30",122.80,"7,140.90",122.10
PRODUCTOS FARMACEUTICOS,"64,550.60","5,700.00","3,026.50",620.8,"6,537.80",258.1,"4,794.80",127.20,"5,102.70",208.1,"6,260.30",325.5,"6,048.40",703.9,"6,709.80",358.30,"5,563.00",236.7,"3,671.30",773.1,"6,228.80","1,046.80","5,597.00",518.7,"5,010.20",522.9
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,616.80,0.00,31.50,0.00,56.00,0.00,48.40,0.00,26.50,0,50.10,0.00,66.90,0,70.30,0,24.80,0,55.80,0,69.70,0.00,54.10,0.00,62.70,0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",664.90,95.80,82.10,0.60,75.70,0.20,71.70,58.90,32.90,31.60,79.70,1.40,32.30,0.70,48.80,0.20,35.80,1.20,80.70,0.00,45.10,0.50,41.10,0.20,39.00,0.30
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS","5,824.30",137.50,515.90,8.90,519.90,16.40,446.30,8.20,321.00,12.70,304.80,14.70,452.50,1.90,486.60,17.90,443.60,6.30,720.50,10.60,769.20,10.60,305.10,10.30,538.90,18.90
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",844.00,136.40,30.20,0,90.10,0.00,129.30,0.40,21.30,0,19.90,3.50,109.40,0.00,55.60,0,84.50,7.20,35.00,61.3,30.30,63.20,136.10,0.10,102.40,0.80
TABACO ELABORADO,544.80,0.00,76.40,0.00,0.00,0.00,0.00,0.00,80.50,0.00,0.00,0.00,80.50,0.00,0.00,0.00,123.00,0.00,0.00,0.00,99.20,0.00,0.00,0.00,85.20,0.00
TORTA DE SEMILLA DE ALGODON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TUBERIA Y SUS ACCESORIOS,"11,342.40",266.60,405.90,0,399.60,5.10,315.50,5.40,"2,881.70",0.00,517.70,0.00,515.90,1.00,"3,242.20",14.20,518.00,11.3,"1,052.50",0.00,425.00,0.1,703.60,163.70,364.80,65.90
VEHICULOS Y MATERIAL DE TRANSPORTE,"26,395.60","1,463.40","1,634.00",0.00,"1,231.10",0.60,"2,161.90",7.10,"3,681.30",0.90,"2,459.00",781.00,"1,727.60",188.50,"2,650.20",28.60,"2,078.40",35.90,"1,580.10",3.70,"2,711.80",29.40,"2,056.20",178.80,"2,423.90",209.10
VIDRIO Y SUS MANUFACTURAS,"9,411.50",101.00,794.90,5.70,634.20,0.20,649.10,84.60,640.30,0.00,557.90,0.40,852.20,0.10,"1,050.10",1.40,564.20,0.00,431.10,0.00,732.10,4.10,"1,194.10",1.00,"1,311.40",3.60
INDUSTRIAS EXTRACTIVAS,"155,809.50","19,628.50","5,715.20","14,875.90","8,664.20","2,936.80","10,572.40",108.20,"11,608.70",97.00,"15,711.70",59.80,"23,794.00",219.50,"17,659.30",285.60,"7,789.50",216.90,"13,340.80",252.10,"11,182.30",287.90,"16,485.20",209.00,"13,286.10",79.80
ALUMINIO,"7,989.50",76.70,511.90,0.00,322.60,3.00,354.30,17.50,864.60,4.00,702.80,10.90,817.10,11.00,859.10,8.80,442.70,6.40,593.50,0.00,623.90,1.20,890.10,3.60,"1,007.00",10.30
ASFALTO,21.90,0.00,6.00,0.00,0.80,0,0.00,0,2.20,0,5.80,0,0.00,0,0.00,0.00,6.30,0,0.30,0,0.00,0,0.40,0,0.00,0
CEMENTO,"10,303.40",0.00,27,0,"3,459.80",0,11.10,0,43.10,0,33.30,0,"3,198.60",0.00,20.90,0.00,118.60,0.00,"3,369.50",0,0.00,0,0.10,0,21.40,0
