,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
AZUCAR,55154.1,0,4303.5,0,3189.9,0,4374.5,0,3684.2,0,3521,0,20747.8,0,3558.4,0,3141.9,0,2881.1,0,2878.8,0,2097.6,0,775.4,0
AZUCARES Y ARTICULOS DE CONFITERIA,17.5,4.8,0,0,0,0,0,0,0,0.1,0,0,17.5,0,0,0.1,0,0,0,4.7,0,0,0,0,0,0
BATERIAS ELECTRICAS,0,72.3,0,0,0,4.2,0,1.3,0,57.7,0,0.1,0,0.3,0,6.2,0,0.3,0,2.1,0,0,0,0,0,0.2
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,0,1568.5,0,37.3,0,23.1,0,25.2,0,122.1,0,13.8,0,23.7,0,144.8,0,250.2,0,331.6,0,259.5,0,160.6,0,176.5
BORRA DE ALGODON (LINTERS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAFE SOLUBLE Y MOLIDO,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0
CALZADO,0.1,4,0,2,0,0,0,0,0,0,0,0.9,0,0.8,0.1,0,0,0.4,0,0,0,0,0,0,0,0
CAMARON Y LANGOSTA,1699.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.6,0,119.7,0,482.7,0,618.6,0,0,0
CARNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLAVOS Y TORNILLOS,0,788.1,0,109.4,0,136.3,0,36.6,0,17.8,0,139.8,0,32.9,0,8.3,0,90.7,0,2.7,0,125.2,0,33.6,0,55
DETERGENTES Y JABONES,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",0,35.9,0,11.5,0,7.2,0,0,0,1,0,0,0,3.3,0,0,0,1.8,0,9.9,0,0,0,0.8,0,0.4
GLICERINA CRUDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRASAS Y ACEITES COMESTIBLES,0,76,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
HARINAS DE CEREALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,0,930.1,0,44.7,0,79.9,0,111.3,0,24.4,0,103.3,0,96,0,69.2,0,34.9,0,69.7,0,18.7,0,67.9,0,210.1
HILOS E HILAZAS,0,2045.6,0,213.7,0,82.8,0,201.5,0,239.4,0,87.5,0,42.1,0,472.3,0,51.2,0,149.8,0,153.8,0,160.2,0,191.3
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INSTRUMENTAL MEDICO Y OTROS,0.1,1965,0,114.8,0,215.5,0,161.9,0,38.9,0,182.3,0,69,0.1,322.6,0,153.3,0,189.5,0,340.6,0,60.2,0,116.7
JOYERIA DE FANTASIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",0.3,2668,0,262.9,0,386.8,0,80,0,117,0,400.5,0,206.9,0.3,288,0,228.4,0,154.8,0,240.8,0,216.1,0,85.8
LAMINA Y ALAMBRE,0,3235.9,0,360.5,0,299.6,0,320.5,0,147.1,0,381.7,0,169.4,0,192,0,142.2,0,77.7,0,244.4,0,321.2,0,579.8
LECHE Y OTROS PRODUCTOS LACTEOS,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
MADERA EN TROZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANUFACTURAS DE CAUCHO,0,1136.9,0,101.3,0,45.1,0,25.8,0,102.8,0,95.7,0,105.6,0,98.2,0,101.5,0,79.5,0,216.1,0,15.5,0,149.8
MANUFACTURAS DE CERAMICA,0.8,65.8,0,1.1,0,0,0,0,0,0,0.4,0.4,0,0,0.4,0,0,32.2,0,0,0,0.4,0,0,0,31.7
MANUFACTURAS DE CUERO,0,1.3,0,0.2,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
MANUFACTURAS DE MADERA,121.6,50.4,19.6,0.4,0,0.4,0,0,0,6.7,25.2,8.8,0,0.9,25.5,5.1,0,6.7,25.6,0,0,16.2,25.6,0,0,5.3
MANUFACTURAS DE PAPEL Y CARTON,0.5,1776.2,0,140.9,0,171.3,0,92.9,0,185.6,0.1,172.2,0,75.2,0.4,127,0,117,0,41,0,183.1,0,268.7,0,201.5
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",0,9.1,0,0,0,0,0,0,0,0,0,0.3,0,0,0,5.6,0,0,0,0,0,3.2,0,0,0,0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,0,17.1,0,3.7,0,0.4,0,0,0,1.5,0,3.5,0,4.6,0,0.1,0,2.1,0,0.1,0,1,0,0,0,0
MANUFACTURAS DE PIELES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANUFACTURAS DIVERSAS,0,3842,0,224.2,0,510.6,0,246.9,0,119.3,0,367.7,0,670.1,0,170.9,0,167.3,0,455.7,0,281.3,0,399,0,228.9
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,15.5,9822.1,0,914.6,15,865.5,0,826,0,565.3,0.1,1219.2,0,602.7,0.4,995.9,0,1190.4,0,611.4,0,717,0,580.3,0,733.9
MATERIALES PLASTICOS Y SUS MANUFACTURAS,41.4,19381.3,0.5,2847.8,0,1094.7,0.1,1650.9,29.9,1655.8,9.3,1533.3,0,1247.8,1.6,1707.2,0,1511.2,0,1158.1,0,1107.4,0,1230,0,2637
