	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
ALIMENTOS PREPARADOS PARA ANIMALES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	0.6	22.9	0	3.2	0	1.5	0.4	0	0.2	2.4	0	0.2	0	1.5	0	0	0	0	0	0	0	0.3	0	0	0	13.8
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	0.2	86.7	0	4.5	0	1.6	0.1	1.5	0.1	0	0	2.8	0	1.5	0	1.5	0	3	0	6.4	0	57.5	0	1.6	0	4.8
APARATOS TRANSMISORES Y RECEPTORES	0.2	118.6	0	9	0	7.3	0.1	3.4	0.1	10.1	0	7.2	0	3.3	0	20.2	0	2.4	0	24	0	4.9	0	7.7	0	19.1
ARMAS Y MUNICIONES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARTICULOS DE VESTUARIO	873.6	17	136.8	0.4	42.5	2	96.8	0.9	16.8	1.3	79.5	5.6	82.9	0	53	0.1	82.2	0.1	23.7	1.5	14.2	5.3	227.6	0	17.6	0
ARTICULOS TIPICOS DE MATERIALES TEXTILES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AVES DE CORRAL BENEFICIADAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZUCAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZUCARES Y ARTICULOS DE CONFITERIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BATERIAS ELECTRICAS	0	22.3	0	5	0	1.9	0	1.7	0	2.6	0	3.5	0	0	0	1.7	0	0.3	0	0.1	0	1.7	0	3	0	0.9
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	5166.2	0	0	0	2675.2	0	0	0	0	0	0	0	0	0	1431	0	1060	0	0	0	0	0	0	0	0	0
BORRA DE ALGODON (LINTERS)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAFE SOLUBLE Y MOLIDO	7.9	0	0	0	0	0	7.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0
CALZADO	2	33.7	0	0	0	16.6	0.3	0	0	0	1.5	0.4	0	16.6	0	0	0	0	0	0	0	0	0	0	0.3	0
CAMARON Y LANGOSTA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARNE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
