,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",96.40,0.00,1.20,0.00,0.00,0.00,0.00,0.00,16.30,0.00,0.00,0.00,16.10,0.00,14.80,0.00,10.70,0.00,0.40,0.00,10.80,0.00,17.80,0.00,8.50,
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,287.50,0.00,5.60,0.00,16.90,0.00,13.70,0.00,18.90,0.00,4.00,0.00,29.10,0.00,25.60,0.00,27.20,0.00,9.40,0.00,58.50,0.00,39.40,0.00,39.20,
MANUFACTURAS DE PIELES,"1,089.70",0.00,117.60,0.00,67.40,0.00,56.50,0.00,64.10,0.00,54.60,0.00,65.40,0.00,0.00,0.00,467.50,0.00,0.00,0.00,0.00,0.00,196.60,0.00,0.00,
MANUFACTURAS DIVERSAS,"4,675.20",4.20,461.90,0.00,147.00,4.20,147.10,0.00,189.60,0.00,"1,573.20",0.00,180.90,0.00,260.50,0.00,473.10,0.00,216.90,0.00,483.90,0.00,322.20,0.00,219.00,
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,"15,116.30",98.80,927.40,0.00,"1,036.50",4.30,578.20,23.60,"3,295.80",0.00,"1,379.10",69.90,812.40,0.30,"1,108.90",0.40,989.40,0.30,803.50,0.00,"1,920.70",0.00,"1,515.00",0.00,749.40,
MATERIALES PLASTICOS Y SUS MANUFACTURAS,"2,360.60",80.60,150.10,0.00,99.70,0.00,187.70,0.00,116.90,0.00,77.20,0.00,73.10,0.00,130.90,0.00,512.70,0.00,179.10,15.80,120.40,64.80,574.30,0.00,138.40,
MATERIALES TEXTILES (TEJIDOS O TELAS),"4,707.70",0.30,242.10,0.00,177.30,0.00,437.30,0.00,372.30,0.00,590.90,0.10,375.00,0.00,706.10,0.20,"1,116.20",0.00,523.60,0.00,78.90,0.00,87.90,0.00,0.20,
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.","2,283.40",8.70,218.80,0.00,2.30,1.60,150.20,0.00,104.50,0.00,301.50,0.60,82.20,0.60,116.40,4.70,125.90,1.30,231.60,0.00,276.50,0.00,226.80,0.00,446.60,
NEUMATICOS Y TUBOS,"2,417.50",196.50,61.70,26.40,88.00,0.00,163.90,0.00,88.60,31.00,295.20,0.00,116.20,26.40,275.50,31.00,211.20,0.00,100.30,57.30,246.60,0.00,476.90,24.60,293.30,
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",0.50,1.20,0.00,0.00,0.20,0.40,0.20,0.00,0.00,0.00,0.00,0.10,0.00,0.20,0.00,0.20,0.00,0.40,0.00,0.00,0.10,0.00,0.00,0.00,0.00,
OTRAS MANUFACTURAS DE METALES COMUNES,"1,357.80",1.90,85.90,0.00,119.00,0.50,48.40,0.00,74.30,0.00,200.40,0.60,61.90,0.10,94.50,0.30,100.70,0.40,126.80,0.00,165.00,0.00,116.50,0.00,164.40,
OTROS ACEITES ESENCIALES,0.10,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.40,0.00,
PAPEL Y CARTON,"1,660.40",0.00,15.60,0.00,44.50,0.00,247.50,0.00,33.60,0,1.30,0.00,328.00,0.00,194.10,0.00,247.80,0.00,196.10,0.00,197.20,0,113.80,0.00,40.90,
PINTURAS Y BARNICES,324.20,0.00,46.20,0.00,5.60,0.00,5.30,0.00,6.30,0.00,35.40,0.00,36.90,0.00,13.50,0.00,65.40,0.00,0.00,0.00,45.00,0.00,10.70,0.00,54.00,
PREPARADOS A BASE DE CEREALES,9.60,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.10,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",38.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,
