	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	12.5	18.1	0	0	3	0	1.1	0	0	0	5.9	4.5	2	1.5	0	2.2	0	3.5	0	2.2	0.5	0.3	0	3.6	0	0.3
MANUFACTURAS DE PIELES	0	30.9	0	0	0	0	0	0	0	0	0	19.8	0	0	0	0	0	0	0	0	0	6.4	0	4.8	0	0
MANUFACTURAS DIVERSAS	0	3819.9	0	173.5	0	425.9	0	252.9	0	195	0	425.3	0	344.2	0	432.4	0	391.3	0	117.5	0	416.8	0	344.6	0	300.7
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	6.7	12428.1	0	1107.3	0	620.2	0	870	3.1	934.4	0	901.8	0	867.1	0.5	944.1	0	1151.1	0	986.6	3	1351.7	0	1131.8	0	1562.1
MATERIALES PLASTICOS Y SUS MANUFACTURAS	20.3	20532.8	0	2138.4	0	826.9	0	1275.7	0	1075	1	1342.2	0	731.9	0	1009.7	8.7	1555.7	0	2084.6	3.6	1743.3	7	2975.1	0	3774.5
MATERIALES TEXTILES (TEJIDOS O TELAS)	0	6708.1	0	818.9	0	102.4	0	644	0	327.4	0	887.7	0	912.4	0	603	0	896.6	0	203.8	0	191.9	0	632.8	0	487.4
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	1.5	1886.9	0	144.5	0	196.1	0	177.9	0	111.2	0	142.5	0	56.6	0.6	173.6	0	202	0	107.7	0	121.5	0	299	0.9	154.3
NEUMATICOS Y TUBOS	0	2113.4	0	144.9	0	143.8	0	227.5	0	162.3	0	93.5	0	165.6	0	170.7	0	417.8	0	45.1	0	185.4	0	143	0	213.6
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0.1	0
OTRAS MANUFACTURAS DE METALES COMUNES	12.1	2002.9	0	64.8	9	227.8	0	150.5	0	172.8	2.9	146	0	124	0.2	86.1	0	251.7	0	266.8	0	193.4	0	159.8	0.1	159
OTROS ACEITES ESENCIALES	7.9	0	0	0	0	0	0	0	4.1	0	0	0	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0
PAPEL Y CARTON	2161.9	45.9	148.8	22.5	111.6	20.1	125.2	1.7	181.9	0	140.8	0	101.8	0	154.4	1.6	174.4	0	248.2	0	224.6	0	258.4	0	292	0
