	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
PRODUCTOS FARMACEUTICOS	429.2	0	13.2	0	72.8	0	0.2	0	0	0	0	0	63	0	0	0	39.3	0	63	0	17	0	7.7	0	153	0
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	21.4	0	0	0	0	0	9.6	0	0	0	0	0	0	0	0	0	11.8	0	0	0	0	0	0	0	0	0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	160.2	0	0.1	0	0	0	30.5	0	0	0	34.1	0	0	0	1.1	0	20.9	0	19.1	0	4.2	0	50.1	0	0.2	0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	17.5	0	0	0	0	0	0	0	3.8	0	0	0	0	0	4.7	0	0	0	0	0	0	0	8.9	0	0	0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	212.4	0	19.9	0	9.6	0	0	0	36.1	0	81.5	0	20	0	3	0	3.9	0	0.4	0	31.5	0	0.3	0	6.2	0
TUBERIA Y SUS ACCESORIOS	1636	2.8	84.8	0	82.8	0	225.1	0	114.3	0	172.1	2.4	121.8	0.4	165.4	0	147.8	0	129.3	0	168.5	0	124.6	0	99.6	0
VEHICULOS Y MATERIAL DE TRANSPORTE	21857.5	147.3	2642	0	1478.5	42	1361.7	0	1062.5	0	1058.3	84.3	1609	21	1239.1	0	1824.3	0	2006.9	0	2964.1	0	2424	0	2187.2	0
VIDRIO Y SUS MANUFACTURAS	1543.3	33.8	150	0	65.1	0	147.3	0	177.3	0	95.5	0.5	127.7	0	42.1	0	117.1	0	150.7	0	241.1	0	82.6	0	146.8	33.3
INDUSTRIAS EXTRACTIVAS	26789.4	1013.3	2201	0	2.4	42.7	141.1	0	2.9	0	6.2	24.1	17.5	155.7	208	171.7	23690.8	27.5	8.3	48.4	79.6	107.9	98.4	322.5	333.2	112.9
ALUMINIO	322.4	953.9	0	0	2.1	0	108.3	0	2.5	0	0.1	24.1	4.1	149.2	41.6	171.7	9.1	25.6	3	41.4	75.3	107.8	25.1	322.5	51.1	111.6
COBRE Y SUS MANUFACTURAS	181.3	0	0	0	0	0	0	0	0	0	0	0	7.2	0	133.1	0	20.3	0	0	0	0	0	0	0	20.7	0
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA)	0	57.4	0	0	0	42.7	0	0	0	0	0	0	0	6.5	0	0	0	1.2	0	7	0	0	0	0	0	0
ESTA&O	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	2.8	0	0	0	0	0	0	0
HIERRO Y ACERO	2237.7	0	2196.1	0	0	0	0	0	0	0	0	0	6.3	0	33.3	0	0	0	0	0	0	0	0	0	2	0
NIQUEL	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0
OTROS DERIVADOS DE PETROLEO	23902.2	1	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	23650.9	0	0	0	0	0	0	0	246.5	1
PLOMO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRODUCTOS MINERALES DIVERSOS	2.3	0.9	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0.7	0	0	0.5	0.1	0	0	0.2	0.1
ZINC	138.2	0	0.1	0	0.3	0	32.8	0	0.4	0	4.5	0	0	0	0.1	0	10.3	0	0	0	3.8	0	73.3	0	12.6	0
* Fuente: Declaraciones y formularios aduaneros																										
