,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",45.8,7,0.1,0,0.2,0,0,0,0,0,0.6,0,2.6,0,3.8,2.7,0,1.6,2.8,0,0.5,0.7,13.8,1.9,21.4,0
LAMINA Y ALAMBRE,1885.6,0,119.5,0,405.4,0,4,0,1028.4,0,71.2,0,1.3,0,51.3,0,66.9,0,0,0,89.4,0,48.2,0,0,0
LECHE Y OTROS PRODUCTOS LACTEOS,2435,0,44.5,0,139.2,0,157.5,0,403.5,0,381.9,0,573.7,0,483.1,0,141.2,0,82.3,0,0,0,28,0,0,0
MANUFACTURAS DE CAUCHO,257.9,0,95.8,0,8,0,16.8,0,4.4,0,6.7,0,42.3,0,9.6,0,20.8,0,20.1,0,8.9,0,14.9,0,9.7,0
MANUFACTURAS DE CERAMICA,94.6,0.9,0.3,0,0.1,0,0,0,0,0,0,0,0,0,44.5,0.2,0,0,22,0,0,0,7.7,0.6,20,0
MANUFACTURAS DE CUERO,5.5,1.7,0,0,0.8,0,0,0,0,0,2.5,0,0,0,0,0,0,1.7,0.2,0,0,0,2,0,0,0
MANUFACTURAS DE MADERA,175.2,0,0,0,0,0,3.9,0,39.5,0,24.3,0,42,0,10.6,0,0,0,18.7,0,5.9,0,6,0,24.4,0
MANUFACTURAS DE PAPEL Y CARTON,1866.6,34.6,183.8,3.3,187,1.6,148.5,1.6,96.9,0,88.5,3.2,139.4,4.9,169.8,5.8,69.2,0,165.3,0,199.8,0.5,287.2,10.8,131,3
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",129.6,0,0,0,0,0,0,0,0,0,10.7,0,0,0,109.2,0,0.2,0,8.8,0,0.4,0,0,0,0.3,0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,0.3,0.9,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
MANUFACTURAS DE PIELES,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0
MANUFACTURAS DIVERSAS,1799.9,2.9,131,0,37.1,0,108.9,0.3,249.6,0,344.4,0.2,28.2,0,162.4,0,41.2,0,128.1,0,98.5,0,279.7,2.4,190.8,0
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,38025.2,101.6,1070.5,0.2,1530.5,0,1661,0,4464.7,0,1089.6,0,2721.3,0,1903.9,99.6,1410.7,1,1470.8,0,2120.7,0.3,4857.8,0,13723.7,0.5
MATERIALES PLASTICOS Y SUS MANUFACTURAS,4473.9,67.2,171.1,0,293.3,0,197.8,0,722.8,0.2,370.4,0,615.6,7.4,305.7,2.1,298.2,0,299,0,631.1,0.8,313.9,0,254.8,56.6
MATERIALES TEXTILES (TEJIDOS O TELAS),679.7,0,39.7,0,40.6,0,2.9,0,327.7,0,0.3,0,0.8,0,58.8,0,42.2,0,82.1,0,2,0,42.6,0,40.2,0
MELAZAS DE AZUCAR,0,2620.3,0,0,0,2620.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
