,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",0,13.5,0,0.5,0,0.3,0,0,0,0,0,0,0,4.9,0,0.2,0,0,0,0,0,0.2,0,6.8,0,0.6
TUBERIA Y SUS ACCESORIOS,0,2119.1,0,51.2,0,62.5,0,11.6,0,8.3,0,111.5,0,28.6,0,10.3,0,167.2,0,1419.5,0,160.5,0,73.1,0,14.7
VEHICULOS Y MATERIAL DE TRANSPORTE,85.3,13697.8,0,1826.9,0,187.9,0,1097.5,0,917.5,0,1868.7,0,557.7,0,805.6,22.1,1740.9,0,1486.1,0,1288.9,0,1225.9,63.2,694.2
VIDRIO Y SUS MANUFACTURAS,0.9,248.3,0,0.2,0,0.3,0,45.4,0,3.1,0,23.4,0,2.9,0,1.1,0,39.1,0.3,38.1,0,64.6,0.6,30,0.1,0.1
INDUSTRIAS EXTRACTIVAS,70297.8,11660.7,4810,577.6,9314.4,106.7,16.8,323,4811.2,214.6,5104.7,442.6,5772.6,389,9798.3,68.1,12278.4,207.1,7755.7,1622,4473.5,2505,0,1864,6162.2,3340.9
ALUMINIO,0,9416.3,0,221,0,0.3,0,61.9,0,52.1,0,69.9,0,230.3,0,0,0,54.2,0,1420.9,0,2321.5,0,1795.7,0,3188.4
COBRE Y SUS MANUFACTURAS,0,151.3,0,15.4,0,0,0,14.9,0,22.9,0,0,0,2.8,0,14.6,0,42.9,0,0,0,37,0,0,0,0.8
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA),197.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.9,0,0,0,0,0
GASES INDUSTRIALES,0,23.4,0,0,0,0,0,0,0,1.7,0,19.6,0,0,0,1.8,0,0,0,0,0,0.2,0,0,0,0
GASOLINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIERRO Y ACERO,0,736.1,0,190.2,0,0,0,131.2,0,2.6,0,122.2,0,54.2,0,0,0,104.9,0,0,0,112.4,0,0,0,18.3
MAGNESIO,0,0.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTROS DERIVADOS DE PETROLEO,0,1321.1,0,150.3,0,102.3,0,115,0,127.8,0,230.9,0,101.7,0,51.5,0,5.1,0,201.1,0,33.9,0,68.3,0,133.3
OTROS METALES COMUNES,0,10.3,0,0,0,4.1,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLOMO,70000.1,0.1,4810,0,9314.4,0,0,0.1,4811.2,0,5104.7,0,5748.1,0,9798.3,0,12249.8,0,7755.7,0,4245.7,0,0,0,6162.2,0
PRODUCTOS MINERALES DIVERSOS,0,1.1,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZINC,99.8,0.4,0,0,0,0,16.8,0,0,0,0,0,24.5,0,0,0.2,28.6,0,0,0,29.9,0,0,0,0,0.2
