	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
LAMINA Y ALAMBRE	34118.5	13625.6	1907.5	1006.1	1768.9	1179.3	2101.1	1286.3	1924.8	992.8	3941.3	1801.8	4074.2	1083	3060.5	1367.2	3517.4	1258.9	1838	1052.3	3732.7	821.2	3091.6	1000.6	3160.5	776.2
LECHE Y OTROS PRODUCTOS LACTEOS	14398.7	673.4	1036.8	49.7	753.1	72.3	956.7	89.2	724.8	29.7	1374.4	106.3	1448.1	70.4	1773	15.8	1881.1	44.3	1022.1	33.4	1188	103.3	1064.3	17.4	1176.3	41.5
MADERA EN TROZA	3.6	0	0	0	0	0	0	0	0	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANUFACTURAS DE CAUCHO	726.7	306.1	56.3	30.1	30.7	16.5	60	15.5	79.8	8.1	66.5	35	49.4	28.3	65.4	18.9	73.1	14.8	62.2	27.5	83.4	43.6	50.3	45.5	49.8	22.4
MANUFACTURAS DE CERAMICA	869.8	2968.5	77.5	185.9	62.1	160.2	90.6	220.2	68.2	132.2	83.4	300.5	86.1	269	101.6	252.3	141.4	308.8	29.4	253.6	60.3	257.9	49.7	361.2	19.6	266.7
MANUFACTURAS DE CUERO	38.9	4	0.8	0.9	1.2	0	1.2	0.5	0	0	3.4	0.9	3.5	0	0	0.3	3.3	0	6.1	0	2.9	0	8.8	0	7.7	1.4
MANUFACTURAS DE MADERA	4024.6	705.1	267.8	28.9	313.8	20.2	336.1	33.3	295	9.8	352.1	53.5	351.8	53.2	330.8	54.5	290.4	99.7	425.2	84.2	457.3	91.6	303.3	119.9	300.9	56.4
MANUFACTURAS DE PAPEL Y CARTON	26638.2	5823	2042.9	367.8	1895.1	464.8	2649	638.8	2154.5	478.2	1841.4	555.8	2524.3	529.8	2471.4	409.4	2118.4	485.9	2296.2	342.3	2079.7	519.5	2964.4	576.8	1600.9	454.1
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	121.6	236.8	0.5	0	1.2	14.7	5.8	9.1	34.8	67.2	23.4	62.5	23.5	19.7	16.7	11.8	9.7	5.4	2.7	10.5	1.3	20.7	1.9	10.8	0	4.4
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	5.2	7.4	0	0.2	0.7	0.1	3.4	0.9	0.5	0.1	0	1.1	0	0.2	0	0.9	0	0.5	0.6	0.1	0	1.2	0	1.6	0	0.5
MANUFACTURAS DE PIELES	400.3	31.5	61.4	0	25.1	0	52	0	8.8	12	92.4	0	15.8	9.5	20.2	0	5.9	0	61.2	0	24	0	20.7	8.8	12.8	1.2
MANUFACTURAS DIVERSAS	9721.6	3468.7	646.4	291.9	590.3	289.2	875.2	401.7	750.6	298.3	1005.2	317.4	649.8	425.2	891.9	179.1	733	375.5	758.8	231.2	751.9	219.6	1042.9	198.5	1025.6	241.1
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	12939.3	8266.8	911.6	405.1	1325.3	381	814.8	654.7	787.4	249.6	1241.6	629.3	1151.1	621.2	1563.4	464	1268.2	1066.5	796.7	1024.8	1370.2	839.4	845.8	683.3	863.2	1247.9
MATERIALES PLASTICOS Y SUS MANUFACTURAS	31964.8	24223.5	2104	1624	2672.3	1757.6	2797.5	2000.6	2187.3	1978.4	2860.8	2425.6	2566	1904.7	2807.8	1975.3	2589.5	2098.4	3109.4	1959	2665.1	2236.8	3093	2540.9	2512.1	1722.1
MATERIALES TEXTILES (TEJIDOS O TELAS)	724.9	6054.2	105	438	10.9	349.6	94.2	578.8	109.9	385.3	15.2	665.2	63.2	559.5	4.6	368.3	17.5	393.4	6.7	644.5	9.6	605.2	25.6	534.8	262.5	531.5
MELAZAS DE AZUCAR	37.7	0	0	0	5.5	0	3.5	0	2	0	4	0	3.5	0	3.5	0	0	0	4.5	0	4	0	4.8	0	2	0
