	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	128	734.6	17.1	119.1	5.5	78.2	0.2	111.2	7.2	32.7	7.7	29.7	29.4	45.7	12	13.5	1.8	123.8	11.1	65.6	17.1	54.8	10.6	36.5	8.3	23.8
HILOS E HILAZAS	2051.9	28070.5	180.7	2231.4	119.4	3769.9	63	2504.5	205.4	2450.4	196.7	3318.3	87	3066.9	233.4	536.1	281.2	2565.6	252.5	2157	201.9	1000.5	82.6	2049.7	148.3	2420.4
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	38087.1	23649.7	2607.2	1315.1	3022.6	1891	3057.7	1435.7	3335.3	1848.3	2902.3	1526.1	3280.7	2556	4414.2	1684.7	3501	2129.6	2652.9	2188	2899.7	1717.8	3242.5	2223.2	3170.9	3134.1
INSTRUMENTAL MEDICO Y OTROS	313.5	5923.8	20.8	595.2	6.8	858.6	12.1	572.2	8	580.3	51	344.2	72.3	252	57.5	364.9	22.3	315.6	13.9	1012.1	15.5	465.4	25.7	368.5	7.6	194.7
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	708.7	403.8	42.9	28.4	45	36.1	29.7	3	10.9	6.1	69.7	9.5	20.1	33.1	51.6	28.8	25.5	3.3	286.7	75.7	19.1	105.9	72.3	35.8	35	37.9
LAMINA Y ALAMBRE	7384.1	27991.3	391.3	1938.2	574.6	2209.8	548	2450	656.8	1779	448.8	2495.1	555.6	2487.3	744.5	2508.5	678.1	2788.9	797.6	2124.4	507.7	2282.3	433.4	2331.5	1047.8	2596.3
LECHE Y OTROS PRODUCTOS LACTEOS	3649.2	49928	166.4	3522.3	298.8	3605.1	445.5	3458.5	254.3	3534.9	438.9	3954.9	578.5	4492.1	232.2	5352.5	145.4	5152.5	432.1	4542.9	238.2	3178.8	262.4	4938.3	156.6	4195.1
MANUFACTURAS DE CAUCHO	692.3	1867.9	9.7	100.1	75.3	102.8	172.6	184.4	31.5	112.8	47.7	164.5	74.2	195.9	27.6	146.4	65	166.1	50.9	156.3	39	134.8	33.8	139.1	65.1	264.8
MANUFACTURAS DE CERAMICA	5581.7	659.8	435.8	39.5	499.6	40.4	569.7	152.7	364.3	15.8	790.4	46.8	550.6	35	404	51.1	388.2	24	423.5	48.5	256.8	52.7	368.2	44.2	530.7	109.2
MANUFACTURAS DE CUERO	106.6	69.2	3.2	4.5	2.9	2.7	0.3	8.5	8.1	3.6	7.4	3.8	22.7	2.4	14	1.5	12.4	8.8	1.9	14.7	0.8	4	12.8	6.5	20.1	8.2
MANUFACTURAS DE MADERA	2960.8	689.1	56.7	50.9	206.2	68.1	323	55.9	221.5	52.9	425.9	84.8	300.2	90.6	251.9	1.6	162.6	48.4	199.5	88.8	233.9	65.9	282.7	26.3	296.7	55
MANUFACTURAS DE PAPEL Y CARTON	25317.3	20575.8	1761.5	1338.3	1609.2	1261.2	1779.7	3031.2	1686.5	2885.1	2055.3	3634.7	1968.8	1141.5	2110.7	1490.3	2401.8	1091.2	2210.3	1036.4	2415.4	1070.6	2521.7	1106.4	2796.2	1488.9
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	338.6	139.6	12	29.2	16.1	13.8	64.7	5.4	13.8	18.3	27.4	3.2	12.5	13.1	37.7	6.3	31.8	1.2	36.9	1.5	30.5	32.9	49.8	7.5	5.4	7.3
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	52.1	199.9	0.6	19.6	0.7	8.8	3.4	25.1	1	10.7	25.6	14.3	13.2	12.5	2	10.8	1.5	23.8	0.4	22.6	0.9	10.8	1.7	25.3	0.9	15.4
MANUFACTURAS DE PIELES	326.1	78.1	6.3	0	0	0	109.8	0	0	0	3	9.2	4	0	6.7	0	54.7	0	11.2	0	7.7	0	114.2	0	8.5	68.9
MANUFACTURAS DIVERSAS	5106.4	38483.7	432.1	4307.1	404.9	3143.1	388.1	1433	428.9	1629	596	2109.3	372.3	3498.9	359.4	3635	391.1	3405.2	305.7	4115.3	463.7	4040.2	315.7	3174.7	648.5	3992.8
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	16938.8	16991.6	1357.4	2904.5	731.9	1544.4	1329.3	1130.2	1318.4	950.9	2178.2	1243.3	1971.3	1308	1458.3	795.2	1493.1	1326.1	1189.1	2202	666.7	1464.6	1631.1	1072.4	1614	1050.1
MATERIALES PLASTICOS Y SUS MANUFACTURAS	46517.5	36108.9	2777.8	3044.9	3419.7	3270.6	4188.9	2850.7	4002.2	3566.6	3693.8	3330.3	3901.7	2887	4467.4	2660.5	2994.6	2676.7	3222.8	2827.3	4167	2999.1	4218.7	2935.5	5462.9	3059.5
MATERIALES TEXTILES (TEJIDOS O TELAS)	5494.7	660	301.4	49.1	344.6	24	351.2	20.9	450.7	95.5	674.5	101.3	375.2	14.2	625.9	40	518.7	119	403.6	42.1	674.1	67.8	341.2	38.9	433.6	47.3
MELAZAS DE AZUCAR	0	66.2	0	9.3	0	9.3	0	0	0	25.6	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	5843.3	2789.6	383.7	196.5	292.4	235.1	423.1	124.3	342.1	189.5	454.2	288.5	347.7	300.7	337.9	245.4	445.3	166.5	624.3	424.4	876	239.5	705.6	222.5	610.9	156.5
NEUMATICOS Y TUBOS	408.6	11264	34.4	342.4	60.2	1099	25	962.1	2.7	611.2	24.2	907.6	67.5	1078.5	56.1	1240.8	29.1	1237.9	12.4	690.7	8.5	986.6	42.6	923.4	45.8	1184.1
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	0.4	64.1	0	4.9	0	1.1	0	0.1	0.1	0	0	33.9	0.2	0	0	1.3	0	0.5	0	2.6	0	18.9	0.1	0.9	0	0
OTRAS MANUFACTURAS DE METALES COMUNES	7139.8	15740.8	465.2	1500.9	244.3	1726.2	622.8	1151.1	527.6	1072.6	621.4	1228.7	954.8	1265.6	902	1403	616.3	1154.1	643.8	1377.4	333	1205.9	640.7	1291.7	567.9	1363.8
OTROS ACEITES ESENCIALES	49.5	53.4	1.4	14.1	6.4	7.1	2.9	1.1	0.6	8	0.2	2.3	10.6	1	6.1	1	1.2	0.9	3.5	1.7	0.2	1.5	9.1	1	7.4	13.6
PAPEL Y CARTON	752.7	16596.5	119.1	1031.4	17.2	1577.7	67.9	1388.6	25.6	1825.4	28.4	1211.3	67.2	915.8	45.1	1338.1	40.5	1989.5	84.3	609.1	114.7	1928.2	71.4	1565	71.3	1216.2
PIELES Y CUEROS	0	291.6	0	0	0	0	0	24.9	0	53.7	0	0	0	0	0	0	0	0	0	55.6	0	52.5	0	70.2	0	34.8
PINTURAS Y BARNICES	3711.4	12224.9	321.2	512.7	305.8	905.3	292.3	1052.8	270.8	1299	370.3	1351.3	287.6	853.7	423.2	947.2	163	1029	276.1	1124.6	401.5	1155.4	253.5	758.4	346.1	1235.5
PREPARADOS A BASE DE CEREALES	21144.1	28128.3	1711	2305.6	1591.8	2831.6	1914.7	2512.9	1691.2	2238.9	1573.3	2452.2	1548.6	2336.1	1949	2342.8	1861.5	2445.2	1547.7	2065.3	2062.7	2680.2	1573	2066.9	2119.5	1850.6
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	8008.2	6832.5	388.6	1094	561.1	1076	466.4	795.8	553.3	434.3	340.6	314.4	584.6	270.4	920.1	729.2	922.4	241.9	770.3	504	762.3	549.7	572	224.4	1166.6	598.6
PREPARADOS DE LEGUMBRES Y HORTALIZAS	9399.7	1295.7	677.5	69.4	819.7	89.5	852	157.6	826.5	133.6	608.1	77.4	632.6	83.8	1007.7	109.2	494.5	77.9	569.6	99.3	700.7	95.7	963.4	156.1	1247.3	146.3
PREPARADOS DE FRUTAS	4712.5	5057.4	247.6	386.7	627.4	347.9	452.5	374	426.1	508.5	352	357.7	402.4	422	357.2	556	323.1	308	303	445.8	351.6	469.1	296.4	402.8	573.3	478.8
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	6407.7	3192.8	418.5	156.1	543	216.6	579.9	128.7	417.4	250	570	330.3	550.7	356.2	543	184.1	412	391.4	586.5	402.1	522.2	354.8	572.3	238.7	692.2	183.8
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	8965	13395.3	909.6	811.8	676.3	1213.8	663.2	721.6	638.2	1013.8	695.6	1086.1	982.3	1346.7	701.6	831.2	845	1319.1	756.3	1150.3	768.8	1224.3	694.7	1483.3	633.5	1193.4
PRODUCTOS FARMACEUTICOS	47527.7	32115.1	4839.4	1363.6	3561.7	3072.1	2439.6	2150.6	4395.3	3062	3376.9	3170.7	5086.7	3225.7	2649.8	2538.2	2605.7	3842	3569	1872.6	3978.8	2919.9	8235.2	3897.7	2789.7	1000.2
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	15.2	86.7	2.8	1.2	0	49.5	0	0.4	3.7	11.6	1.2	0.7	0	12.8	3.1	7.3	0	1.7	4.4	0	0	0.8	0	0.6	0	0.1
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	2129.6	188.2	143.7	58.9	107.5	18	154.3	6.9	172.3	9.9	121.6	23.4	139.4	3.9	159.4	10.8	158.2	9.6	177	15.4	359.7	9.9	182.2	3.5	254.4	17.9
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	8536.4	32708.2	618.6	2202.5	769.6	2456.1	763.4	2874.3	631.1	2455.7	560.6	2892.8	826.9	2579	780.7	2418.8	599.3	2550.1	774.2	3049.6	726.5	3379.4	684.6	2834.7	801.1	3015.2
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	61	198.7	0.7	7.4	6.4	17.8	3.1	1.5	0.8	14.5	4.6	10.6	7.8	21.4	0.8	2.4	5	11.4	26.5	41.6	2.6	29.8	1.6	9.9	1.3	30.4
TABACO ELABORADO	0	4809.1	0	0	0	452	0	447.5	0	164.6	0	596.7	0	556.3	0	581.8	0	173.6	0	583.2	0	610.8	0	388.9	0	253.8
TUBERIA Y SUS ACCESORIOS	19114.2	6423.3	1421.6	350.7	1455.5	673.3	1815	1202.8	1223.9	774.4	1630.5	566.7	2003.6	578.8	2154.8	362.1	1472	384.9	1731.4	380.9	1152.9	458.5	1381.1	329.3	1672.1	360.7
VEHICULOS Y MATERIAL DE TRANSPORTE	3949.1	4498.1	455.9	327.8	360.4	438.4	263.4	306.9	437	210.2	319.7	143.6	132.9	357.9	480.9	183.3	215.1	199.2	439.2	785	209.4	663.3	349.6	243.4	285.6	639.1
VIDRIO Y SUS MANUFACTURAS	8528.6	11114.6	559.8	720.7	452.6	1355.3	773	1649.3	757.2	460.7	943.9	1163.6	860.2	746.1	709	767.7	497	483.8	1285.1	607.4	258.8	1367.9	798	1153	634	639.1
INDUSTRIAS EXTRACTIVAS	12112.5	14983	1122.9	870.4	1129.1	1297.7	1240.4	1128.2	1174.8	1284.1	1185.8	1574	1226.4	1578.1	1187.6	1013.6	913	1404	658.2	1535.5	601.4	1139.2	624.6	907.4	1048.3	1250.7
ALUMINIO	1949.5	5407.1	455.3	361.9	430.5	477.8	447.8	504.3	190.1	479.7	0.7	511.1	2.2	418	18.3	360.7	0.4	578.8	40.4	507.1	69.7	296.2	0.3	438.9	293.7	472.6
CEMENTO	3.2	27.1	0	0	0.2	0	0.5	0	0	0	0	27.1	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0
COBRE Y SUS MANUFACTURAS	19.7	148.9	0	12.6	0	8.3	0	14	9.9	37.7	0.3	0	3.8	7.5	0	29.2	0	0.5	0	10.2	5.6	12.1	0	6.9	0	9.9
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA)	0	1547.9	0	12.7	0	21.3	0	42.3	0	49.4	0	58.6	0	255	0	101.4	0	152.5	0	182.5	0	255	0	244.4	0	172.7
GASES INDUSTRIALES	221.4	314.6	29.7	42.4	48.1	43.3	13.1	22.2	0	22.2	25.4	22.2	26.5	44.3	20.8	22.2	14.8	44.3	35.6	2.1	0	27.2	7.4	22.2	0	0
GASOLINA	923.1	14.2	123.4	0.2	49.4	0	48.9	0.6	135.1	1.7	75.5	1.3	103.6	0	43.3	0	108.8	3.8	36.3	0.2	72.6	2.2	54.5	3.7	71.7	0.4
HIERRO Y ACERO	3528.6	6688.7	257	346.3	193.8	640.8	329.9	511.4	359.4	608.5	309.2	913.6	415.3	732.7	395.8	447.9	294.6	575.2	249.5	770.3	191.8	492.9	217.1	143.8	315.2	505.2
MAGNESIO	87.4	14.3	0	3	7.2	4.4	2.6	0.9	12.8	6	5.3	0	17.9	0	4.7	0	7.3	0	0.7	0	5.3	0	10.6	0	13.2	0
OTROS DERIVADOS DE PETROLEO	364.8	591.6	24.7	80.1	32.4	95.6	20.5	13.5	28.3	75	34.5	35.7	48.9	54.5	43.7	42.3	21.2	27.3	41.1	57.1	27.9	28.2	29.7	32.6	11.9	49.6
PLOMO	8.2	0	0	0	8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRODUCTOS MINERALES DIVERSOS	4116.5	143.2	232.8	11.2	359.4	0.5	377	14.9	439.3	1.4	505.7	1.7	530.8	65.3	310.7	1.8	234.6	15.3	254.6	4.4	228.5	10.3	300.6	6.6	342.5	9.6
ZINC	2	85.5	0	0	0	5.6	0	4	0	2.5	0	2.7	0	0.6	0	8.2	0	6.2	0	1.6	0	15.2	2	8.3	0	30.7
PRODUCTOS NO ESPECIFICADOS	888.2	0	0	0	0	0	0	0	0	0	229.2	0	77.4	0	350.3	0	231.3	0	0	0	0	0	0	0	0	0
