	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	2811.1	7298.1	211.3	1229.3	275.4	142.2	344.2	1244.7	320	124.9	274.8	83.2	313.6	1000.3	182	991.3	91	53.1	121.3	1776.4	257.2	335.1	268.3	59	152.2	258.7
BORRA DE ALGODON (LINTERS)	46.8	0	0	0	0	0	1.8	0	16.6	0	0	0	0	0	18	0	0	0	10.3	0	0	0	0	0	0	0
CAFE SOLUBLE Y MOLIDO	260.7	102.4	12.8	0	41	13.4	67.2	0	26.9	17.8	12.6	0	16.8	15.4	6.2	0	16.3	2.2	20	52.3	18	1.3	6.1	0	16.9	0
CALZADO	10580.5	1599.4	485.6	107.8	451.3	102.3	613.9	150.2	776	150.4	610.4	178.8	746.1	152.2	833.7	0.6	931.7	176.7	880.8	126.5	756.1	167.5	1989.8	219.3	1505.1	67.2
CAMARON Y LANGOSTA	1077.6	22858.4	7.7	867	47.1	2612.9	3.5	1184	2.6	963.8	20.4	539	9.1	556.2	4	2058.6	13.7	4358.7	9.4	2186.6	14.9	1561.6	4.1	3133.1	941	2837
CARNE	5593.2	0	429.6	0	467.1	0	310.9	0	595.1	0	648.7	0	367.4	0	270.4	0	377.6	0	374.6	0	561.7	0	593.2	0	596.9	0
CERAS	2260.1	27093.7	60.4	6750.1	99.7	2169.1	164.5	1594.8	209.8	2596.9	132.8	1299.3	94	848.8	102.4	0.3	79.5	4250	388.1	1612.4	459.8	788.9	337.4	3356.8	131.8	1826.2
CLAVOS Y TORNILLOS	5802.4	411.1	381.4	28.4	321.6	7	472.7	19	695.5	13.3	637.9	60.8	681.1	37.1	692	15.9	567	58.7	355.2	52.8	287.5	51.5	390.3	35.8	320.1	30.8
DETERGENTES Y JABONES	6161.7	13724	471.6	1338.7	1071.7	1544.9	416.1	1572.5	542.4	757.4	684.9	805.9	385	249.4	514.3	236.7	495.2	2032.6	381.6	1827.4	518.2	1027.2	409.7	1397.8	271.2	933.3
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	6705	32	1104.4	6	622	0.2	545.7	0.2	688.9	0.1	501.6	0.9	353.1	6	461.5	6.4	507.2	0.9	408.4	2.8	724.6	1.1	422	7.3	365.6	0.2
GLICERINA CRUDA	93.1	39.2	0	0	18.3	25.9	0.6	13.2	0.5	0	18.5	0	18.4	0	0	0	0	0	18.5	0	0	0	18.4	0	0	0
