,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
MANUFACTURAS DE CUERO,2310.4,19185.9,131.4,1403.5,142.2,1594.1,148.3,1152.5,119.7,1554,570.8,863.6,341.9,1611.9,132.5,1177.7,89.2,1828.8,160.3,1833.7,261,979.5,130.3,1720.4,82.8,3466.3
MANUFACTURAS DE MADERA,8313.8,23888.3,1103.1,2464,931.8,2129.8,880.7,1435.8,896.2,868,612.7,2103.4,370.8,2201.9,308,2148.9,666.7,1895.6,553.8,2725.7,504.3,1351.6,917,1820.4,568.7,2743.2
MANUFACTURAS DE PAPEL Y CARTON,76224.7,24881,7054.2,2124.3,7149.8,1860.6,7763.7,1620.7,5416.1,1723.6,5977.8,2310.6,5381.8,1125.3,6569.8,2180.1,6586.8,2632.4,5096.3,1713.6,5755.6,2135.4,6296.3,3124.8,7176.5,2329.6
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",2280.1,810.4,279.4,203.7,113.2,0,305.5,155.4,257.5,50.1,182.3,54,70.7,7.5,219.8,83.3,222.5,39.6,165,101.9,170.7,78.3,185.3,20.8,108.3,15.7
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,13124.2,34610.3,846.7,3523.7,554,3524.3,965.6,2129.3,1193.5,4989.1,2987.7,4855.7,671.1,1465.8,1105.2,1421.6,1047.9,3093.3,1263.7,2757.1,941.1,2946.8,822,2497,725.7,1406.6
MANUFACTURAS DE PIELES,87.1,54.4,0.2,0,0.3,7.7,0,1,0,10.6,0,0,41.2,1.3,1.9,0,2.6,0,21.4,26.9,0,5.4,19.5,0,0,1.5
MANUFACTURAS DIVERSAS,60223.3,1387.9,4690.7,195.5,4603.5,32.4,4574.4,116.4,4072.2,72.4,6197,97.4,5221.3,109,4211.9,45.6,5255.9,99.1,4847.3,350.8,6450.4,92.8,5583.8,63.9,4514.9,112.6
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,612652.9,15307,46459.5,446.2,40120.8,430.4,45479.7,912.3,41865.9,1154.4,56231.9,859.4,45552.2,1012.4,63572.4,2044.2,56554.7,626.2,47873,1587.2,59132.6,2049.4,59465.4,3444.2,50344.9,740.8
MATERIALES PLASTICOS Y SUS MANUFACTURAS,257981.4,14261.2,16927.9,1080.5,18199.2,705,20257.9,941.3,16508.6,1276.5,25391.6,1087.1,26910.8,1137,21228.5,1238.6,24338.7,1052.4,24739,1537.7,22602.1,1184.5,21358.1,1062,19518.9,1958.5
MATERIALES TEXTILES (TEJIDOS O TELAS),186677.8,14440.7,15710.4,378.5,15999.4,252.9,18287.4,327,17231.7,601.6,20722.3,500.1,16311.9,766.9,15225.8,2084.4,15178.9,2545.6,12398.8,2039.4,14588.4,1844.8,13743.1,1479.7,11279.8,1619.7
